Taxa,EDNA20_474103,EDNA20_478993,EDNA20_478981,EDNA20_474014,EDNA20_474091,EDNA20_474086,EDNA20_478907,EDNA20_478851,EDNA20_478949,EDNA20_478941,EDNA20_478929,EDNA20_478985,EDNA20_478895,EDNA20_474043,EDNA20_478959,EDNA20_478954,EDNA20_478847,EDNA20_474099,EDNA20_478969,EDNA20_474198,EDNA20_474143,EDNA20_478989,EDNA20_474107,EDNA20_474079,EDNA20_474179,EDNA20_478997,EDNA20_478973,EDNA20_478977,EDNA20_474001,EDNA20_478887,EDNA20_478655,EDNA20_478672,EDNA20_478685,EDNA20_478631,EDNA20_478618,EDNA20_478748,EDNA20_478752,EDNA20_474207,EDNA20_478677,EDNA20_478964,EDNA20_474237,EDNA20_478933,EDNA20_478745,EDNA20_478639,EDNA20_478689,EDNA20_478635,EDNA20_478706,EDNA20_474005,EDNA20_478867,EDNA20_474217,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_478732
Leptagonus decagonus,0,0,0,0,0.110483813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,0,0.064650852,0.072174499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415133158,0,0.176050843,0,0,0,0,0,0.377021408,0,0,0.238473399,0,0.03169166,0,0.024061724,0.107938321,0.189328744,0,0,0.293739029,0,0,0,0,0.394998645,0.182343002,0,0.105755153,0,0,0,0,0,0,0,0
Ammodytes dubius,0,0,0.10889338,0,0,0,0,0,0.225423729,0,0,0,0,0,0,0,0,0.491513316,0,0.491820661,0,0,0,0.240531877,0,0.583243493,0,0,0.75791333,0,0,0,0,0,0,0.135344936,0,0.60421299,0,0,0,0,0.5704622,0,0,0.067349927,0,0,0,0.14826546,0,0,0,0
Ammodytes tobianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002618204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anarhichas g.,0,0,0,0,0.04102051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378585086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069381599,0,0,0,0
Arctozenus risso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019639187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148013039,0,0
Argentina silus,0,0,0,0,0,0,0,0,0.048305085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brosme brosme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195660908,0,0,0,0,0,0,0,0,0,0,0,0.002103065,0,0.080383649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035446956,0,0,0,0,0,0,0,0,0,0,0,0,0.211912137,0.04457288,0,0,0,0,0,0,0,0,0
Clupea harengus,0.411788953,0,0,0,0.081755163,0.091911765,0.579930796,0,0,0,0,0,0.140577041,0.960576993,0.235255784,0,0,0,0,0,0,0,0,0.759468123,0.066946485,0,0,0.05376944,0,0.568965517,0,0,0.849919358,0,0,0.417678728,0.444148493,0,0,0,0,0,0,0,0.696746793,0.12568983,0.520239697,0,0.048694187,0,0.044138647,0,0.165405405,0
