Taxa,EDNA20_474103,EDNA20_478993,EDNA20_478981,EDNA20_474014,EDNA20_474091,EDNA20_474086,EDNA20_478907,EDNA20_478851,EDNA20_478949,EDNA20_478941,EDNA20_478929,EDNA20_478985,EDNA20_478895,EDNA20_474043,EDNA20_478959,EDNA20_478954,EDNA20_478847,EDNA20_474099,EDNA20_478969,EDNA20_474198,EDNA20_474143,EDNA20_478989,EDNA20_474107,EDNA20_474079,EDNA20_474179,EDNA20_478997,EDNA20_478973,EDNA20_478977,EDNA20_474001,EDNA20_478887,EDNA20_478655,EDNA20_478672,EDNA20_478685,EDNA20_478631,EDNA20_478618,EDNA20_478748,EDNA20_478752,EDNA20_474207,EDNA20_478677,EDNA20_478964,EDNA20_474237,EDNA20_478933,EDNA20_478745,EDNA20_478639,EDNA20_478689,EDNA20_478635,EDNA20_478706,EDNA20_474005,EDNA20_478867,EDNA20_474217,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_478732
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52252,0,0,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0
Ammodytes personatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890,0,0,0,0,0,0,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes g.,0,2810,3140,0,0,17,0,0,0,0,0,0,0,0,0,0,2432,53905,0,533391,0,3121,1143,6927,0,624095,0,0,627961,0,0,0,3523,2981,0,0,0,42123,0,0,7300,0,579810,4375,3913,0,0,0,0,3524,0,8321,0,0
Anisarchus medius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282,0,4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74645,0,0,0,0,0,0,0,0,0,0,0,25323,0,0
Brosme brosme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78828,0,0,0,0,0,0,0,0,6472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
