"","Taxa","eDNA_16S","verts_count"
"1","Alosa pseudoharengus",0,0
"2","Amblyraja radiata",0,0
"3","Argentina silus",0,0
"4","Benthosema glaciale",0,0
"5","Centroscyllium fabricii",0,0
"6","Citharichthys arctifrons",0,0
"7","Clupea harengus",0,0
"8","Enchelyopus cimbrius",0,0
"9","Glyptocephalus cynoglossus",0,0
"10","Helicolenus dactylopterus",0,1
"11","Hippoglossoides platessoides",0,0
"12","Hippoglossus hippoglossus",3103,0
"13","Leptoclinus maculatus",0,0
"14","Leucoraja erinacea",0,0
"15","Lophius americanus",0,0
"16","Lumpenus lampretaeformis",0,0
"17","Melanogrammus aeglefinus",0,31
"18","Merluccius albidus",0,0
"19","Merluccius bilinearis",2867,0
"20","Myoxocephalus octodecemspinosus",0,0
"21","Notoscopelus elongatus",0,0
"22","Phycis chesteri",0,0
"23","Pollachius virens",6753,22
"24","Pseudopleuronectes americanus",0,0
"25","Scomber scombrus",0,43
"26","Sebastes g.",0,0
"27","Squalus acanthias",0,19
"28","Tautogolabrus adspersus",0,0
"29","Triglops murrayi",0,0
"30","Urophycis chuss",0,0
"31","Urophycis tenuis",0,0
"32","Zoarces americanus",0,1
"33","Alosa pseudoharengus",0,0
"34","Amblyraja radiata",0,1.988636364
"35","Argentina silus",0,2.982954545
"36","Benthosema glaciale",0,0
"37","Centroscyllium fabricii",0,0
"38","Citharichthys arctifrons",0,0
"39","Clupea harengus",0,0
"40","Enchelyopus cimbrius",0,0
"41","Glyptocephalus cynoglossus",0,0
"42","Helicolenus dactylopterus",0,6.960227273
"43","Hippoglossoides platessoides",0,0
"44","Hippoglossus hippoglossus",0,0
"45","Leptoclinus maculatus",0,0
"46","Leucoraja erinacea",0,0
"47","Lophius americanus",0,0
"48","Lumpenus lampretaeformis",0,0
"49","Melanogrammus aeglefinus",0,3.977272727
"50","Merluccius albidus",0,0
"51","Merluccius bilinearis",1466,0
"52","Myoxocephalus octodecemspinosus",0,0
"53","Notoscopelus elongatus",0,0
"54","Phycis chesteri",0,0
