"","Taxa","EDNA20_474103","EDNA20_478993","EDNA20_478981","EDNA20_474014","EDNA20_474091","EDNA20_474086","EDNA20_478907","EDNA20_478851","EDNA20_478949","EDNA20_478941","EDNA20_478929","EDNA20_478985","EDNA20_478895","EDNA20_474043","EDNA20_478959","EDNA20_478954","EDNA20_478847","EDNA20_474099","EDNA20_478969","EDNA20_474198","EDNA20_474143","EDNA20_478989","EDNA20_474107","EDNA20_474079","EDNA20_474179","EDNA20_478997","EDNA20_478973","EDNA20_478977","EDNA20_474001","EDNA20_478887","EDNA20_478655","EDNA20_478672","EDNA20_478685","EDNA20_478631","EDNA20_478618","EDNA20_478748","EDNA20_478752","EDNA20_474207","EDNA20_478677","EDNA20_478964","EDNA20_474237","EDNA20_478933","EDNA20_478745","EDNA20_478639","EDNA20_478689","EDNA20_478635","EDNA20_478706","EDNA20_474005","EDNA20_478867","EDNA20_474217","EDNA20_474148","EDNA20_474160","EDNA20_474175","EDNA20_478732","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"1","Alosa pseudoharengus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065116279,5.394827586,0.278409091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amblyraja radiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.958806818,0,0,0,0,0,0,0,0,0,1.111403509,0.014914773,0,0,0,5.859550562,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.155172414,0,0,0,0,0,0,0,0
"3","Argentina silus",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39375,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.443055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797443182,0.279597701,0,0,0,0,0,0,0,0
"4","Benthosema glaciale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282,0,4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74645,0,0,0,0,0,0,0,0,0,0,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Centroscyllium fabricii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24841954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Citharichthys arctifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010694444,0,0.319375,0,0,0.026764706,0.033055556,0,0,0,0,0,0,0.02747093,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0.005965909,0
"7","Clupea harengus",608,0,0,0,0,0,1149,0,0,0,94,0,7,8886,20,0,0,0,0,0,0,0,0,4436,0,0,0,1249,0,0,0,0,4820,0,0,237,94,0,0,0,0,0,0,0,4342,338,131,0,0,0,0,0,0,0,0,0,0.89,44.24281609,1.938920455,1.15,2.24566474,0,4.325284091,0.491193182,0,42.31725146,0,3.067528736,25.06538462,0,0,0.305344828,1.384,0.2875,0,0,0.18046875,0,0.165277778,4.189705882,7.505555556,24.73,0,0,0.932272727,9.998333333,54.5234375,0,0,4.552023121,0.198401163,2.514367816,0.292329545,7.04,5.39,0.554166667,1.297752809,0.586705202,0,0,4,0.116032609,0,0,0,0,0,0
"8","Enchelyopus cimbrius",0,0,0,0,22531,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111,0,30973,0,0,0,0,14193,0,14792,0,0,0,0,0,0,0,0,0,0,0,14422,860,0,0,0,0,0,0,0,0.15,0.068786127,0,0,0,0,0.044005848,0,0.049281609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13125,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Glyptocephalus cynoglossus",12224,0,0,0,0,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,3065,959,0,0,0,11413,0,0,0,0,0,0,0,0,1604,0,2326,0,0,0,0,11152,0,0,0,0,0,0,0,0,0,11061,0,20313,0,0,0,0,0,0,0.62,0.414739884,0,0,0,0.422413793,2.302631579,3.572585227,88.60632184,9.180769231,0.272540984,1.46488764,0,6.83,0.43,0,0,0.39046875,0.178888889,0.003888889,0.075147059,1.166666667,0,0,0,0.361666667,0.243833333,0,0.468023256,0,0,2.380813953,0.985632184,0,0,0,0,0,0,0.427556818,0,0,0,0,0,0,0,0,0
"10","Helicolenus dactylopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,0,0,0,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.081534091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.104,0,1.184166667,0,6.797687861,78.04403409,11.73706897,0,0,0,0,0,0,0,0
"11","Hippoglossoides platessoides",7637,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,275325,0,0,8357,0,8737,0,0,0,0,0,0,0,0,0,0,853,0,5596,0,0,0,0,0,114,0,0,5719,0,0,0,0,0,25508,2068,0,0,0,1.468390805,0.586647727,0,2.104046243,10.20799419,2.664772727,6.095170455,0,2.026315789,0.055681818,9.896551724,6.798076923,6.757581967,5.191011236,0,0.61,0.105,0,0,0.0175,0,0,0.184264706,0,0,0,0,0.299090909,0,0.19140625,0,0,0,0.151598837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Hippoglossus hippoglossus",0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,6634,0,0,60894,0,0,0,0,0,0,0,0,0,0,0,0,0,8143,9173,0,0,3.36,0.225287356,0,0,0,0,59.65909091,0,0,9.425438596,0,4.364942529,0,0,0,0,3.95,0,0,0,9.296875,0,0,0,0,23.81,6.155882353,1.2228125,0,7.128333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.930327869,0,0,0,0,0
"13","Leptoclinus maculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022383721,0.171022727,0.031818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Leucoraja erinacea",0,17790,14603,0,0,0,0,0,0,0,0,18478,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,47861,13627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20178,7320,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844375,0,0,0,0,0,0,0,0,0,0,0.427325581,0,0,0,0,8.998579545,0,0,0,0,0,0,0,0,0,0,8.514044944,15.59,1.488505747,0,0.794382022
"15","Lophius americanus",0,0,6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17952,12809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0.31375,0,0,0.22859375,0,2.00375,0.260441176,2.775694444,0,0.473529412,0,0,0,0,6.531976744,0,0,0,1.03591954,0,0.746,0,4.375,3.037921348,0,0,0,0,2.605978261,0,2.713483146,2.54,0,0,4.384831461
"16","Lumpenus lampretaeformis",35255,0,0,0,14952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6476,0,0,7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075867052,0,0.201846591,0.316193182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
