Taxa,EDNA20_474001_2,EDNA20_474005_2,EDNA20_474014_2,EDNA20_474043_2,EDNA20_474079_2,EDNA20_474086_2,EDNA20_474091_2,EDNA20_474099_2,EDNA20_474103_2,EDNA20_474107_2,EDNA20_474143_2,EDNA20_474148_2,EDNA20_474160_2,EDNA20_474175_2,EDNA20_474179_2,EDNA20_474198_2,EDNA20_474207_2,EDNA20_474217_2,EDNA20_474237_2,EDNA20_478618_2,EDNA20_478631_2,EDNA20_478635_2,EDNA20_478639_2,EDNA20_478655_2,EDNA20_478672_2,EDNA20_478677_2,EDNA20_478685_2,EDNA20_478689_2,EDNA20_478706_2,EDNA20_478732_2,EDNA20_478745_2,EDNA20_478748_2,EDNA20_478752_2,EDNA20_478847_2,EDNA20_478851_2,EDNA20_478867_2,EDNA20_478887_2,EDNA20_478895_2,EDNA20_478907_2,EDNA20_478929_2,EDNA20_478933_2,EDNA20_478941_2,EDNA20_478949_2,EDNA20_478954_2,EDNA20_478959_2,EDNA20_478964_2,EDNA20_478969_2,EDNA20_478973_2,EDNA20_478977_2,EDNA20_478981_2,EDNA20_478985_2,EDNA20_478989_2,EDNA20_478993_2,EDNA20_478997_2
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,31.17816092,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa sapidissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,3.017241379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amblyraja radiata,0,1.988636364,0,0,0,0,0,0,0,0,0,3.070175439,0.994318182,0,0,0,34.41011236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0
Ammodytes dubius,17,8.948863636,0,0,82.52840909,0,0,846.5116279,1.988636364,16.90340909,0,0,0,0,0,4856.967213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.3030303,299.8333333,596.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.017241379,0,138.6235955
Anarhichas lupus,0,0,0,1.005747126,0,0,0,0,0.994318182,0,1.005747126,1.023391813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctozenus risso,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,2.982954545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,1.005747126,0,0,0,0,0,0,0,0
Artediellus atlanticus,0,0,0,0,0,0,0,3.052325581,2.982954545,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspidophoroides monopterygius,1,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
