Taxa,EDNA20_474001_2,EDNA20_474005_2,EDNA20_474014_2,EDNA20_474043_2,EDNA20_474079_2,EDNA20_474086_2,EDNA20_474091_2,EDNA20_474099_2,EDNA20_474103_2,EDNA20_474107_2,EDNA20_474143_2,EDNA20_474148_2,EDNA20_474160_2,EDNA20_474175_2,EDNA20_474179_2,EDNA20_474198_2,EDNA20_474207_2,EDNA20_474217_2,EDNA20_474237_2,EDNA20_478618_2,EDNA20_478631_2,EDNA20_478635_2,EDNA20_478639_2,EDNA20_478655_2,EDNA20_478672_2,EDNA20_478677_2,EDNA20_478685_2,EDNA20_478689_2,EDNA20_478706_2,EDNA20_478732_2,EDNA20_478745_2,EDNA20_478748_2,EDNA20_478752_2,EDNA20_478847_2,EDNA20_478851_2,EDNA20_478867_2,EDNA20_478887_2,EDNA20_478895_2,EDNA20_478907_2,EDNA20_478929_2,EDNA20_478933_2,EDNA20_478941_2,EDNA20_478949_2,EDNA20_478954_2,EDNA20_478959_2,EDNA20_478964_2,EDNA20_478969_2,EDNA20_478973_2,EDNA20_478977_2,EDNA20_478981_2,EDNA20_478985_2,EDNA20_478989_2,EDNA20_478993_2,EDNA20_478997_2
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065116279,5.394827586,0.278409091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa sapidissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270639535,3.489942529,0,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0
Amblyraja radiata,0,1.958806818,0,0,0,0,0,0,0,0,0,1.111403509,0.014914773,0,0,0,5.859550562,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.155172414,0,0,0,0,0,0,0,0
Ammodytes dubius,0.117,0.084517045,0,0,1.608806818,0,0,15.29622093,0.023863636,0.264488636,0,0,0,0,0,71.48032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862272727,0.645166667,6.59640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.010057471,0,0.631179775
Anarhichas lupus,0,0,0,0.386206897,0,0,0,0,0.882954545,0,0.623563218,0.493274854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctozenus risso,0,0,0,0,0,0,0,0,0,0,0.010057471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0.39375,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.443055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797443182,0.279597701,0,0,0,0,0,0,0,0
Artediellus atlanticus,0,0,0,0,0,0,0,0.012209302,0.0109375,0,0.002011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspidophoroides monopterygius,0.001,0,0,0,0,0,0,0,0.000994318,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0.24841954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophthalmus agassizi,0,0.204829545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010694444,0,0.319375,0,0,0.026764706,0.033055556,0,0,0,0,0,0,0.02747093,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0.005965909,0
