Site_eDNA	bioclass	coarse_class	strata_class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53
EDNA20_474001	WSS_OuterBoF	West	Shelf_deep	-0.124842733	-0.13850518	-0.143763505	0.209173478	-0.116874027	-0.107709853	-0.054534369	0.116178317	-0.181682624	-0.069069477	-0.238973531	0.099279856	-0.140797818	0.045578228	-0.042340953	-0.044715288	-0.072993164	0.044196575	0.101132409	-0.051035079	-0.019078717	0.119443675	-0.076399958	0.01804612	0.018106559	0.131115862	-0.038791951	-0.129851261	0.094352447	-0.024575162	0.048716264	-0.054898153	0.033410977	-0.004772695	0.030589263	-0.056778726	0.003677111	-0.083310712	-0.028383336	-0.041076112	-0.027345456	0.002090953	0.01289917	-0.005072549	-0.069511604	-0.009454872	0.051260752	-0.070038311	0.052016161	0.027901551	0.047147347	-0.02562209	0.026923779
EDNA20_474005	WSS_OuterBoF	West	Shelf_deep	0.103457217	-0.021091815	-0.004657382	0.016446282	-0.085544055	0.147869397	-0.023185709	-0.131088781	-0.044581571	-0.264383443	-0.01786336	-0.073746882	0.027819674	0.22028314	-0.338333139	0.021597848	-0.180094656	-0.137368085	-0.116802176	0.10446685	0.008187355	-0.082385293	0.049104227	0.204887942	0.113151291	0.017428948	0.031708855	-0.03244958	-0.086744595	-0.017890227	0.007662894	0.00047704	0.069642313	-0.030414269	0.039397491	0.018318323	-0.012271903	-0.008402876	0.011483006	0.004851963	-0.004535168	-0.010507694	0.007889352	0.001533975	0.01126763	0.002447003	-0.0176054	0.016413905	0.008915937	-0.00058588	0.003755586	-0.002287918	0.005873376
EDNA20_474014	WSS_Banks_InnerBoF	West	Shelf_bank	0.028444582	-0.26567645	0.201068239	-0.014731894	0.194032979	0.004487455	0.079444101	0.000948528	-0.056378681	0.211371223	0.002541094	-0.167564028	0.020944692	0.025995059	0.045623932	-0.07625717	0.049114868	-0.046139497	0.061120118	0.037491693	-0.033864257	-0.161962564	-0.029822831	0.080743262	0.117286271	-0.003093709	0.1053011	0.049180408	0.054570115	0.048973645	0.025548573	-0.054844812	-0.046685384	-0.119223439	-0.02683366	-0.019378859	0.042486578	-0.003103659	0.033981074	-0.112735458	-0.029874598	-0.014860444	0.093263816	0.001798958	-0.056472252	-0.014348961	0.011977822	-0.044656182	0.009943185	0.001092058	-0.075034032	-0.020070047	0.036732557
EDNA20_474043	WSS_Banks_InnerBoF	West	Shelf_bank	-0.105497326	-0.029866781	0.133430436	-0.019415903	0.272044495	-0.098458635	-0.179770771	-0.066855441	0.122941552	0.130001583	0.018270106	-0.096804843	-0.008649515	0.125245695	-0.191858328	-0.006044187	0.026281967	0.034700984	0.095353969	-0.017040016	-0.147091863	0.272131006	-0.026314153	-0.051290274	-0.100055271	0.001582281	0.053289349	-0.015600729	-0.085967344	0.028823061	-0.091463791	0.001993154	0.101074053	0.032201597	0.031580906	-0.019165535	0.010548388	0.03514408	0.055923906	-0.005779387	0.000400806	-0.041828577	0.008945372	0.00245693	0.029269467	-0.060012714	-0.031092501	-0.027533757	0.038240124	-0.041788444	-0.017294535	-0.00974941	-0.003260841
EDNA20_474079	ESS_Banks	East	Shelf_bank	-0.266459916	0.12425896	0.238033197	0.248168281	0.128086207	-0.141626467	0.065513557	0.00158772	0.027214957	-0.017153892	0.113156858	0.201764277	0.001174691	0.122265084	0.078108118	0.041103193	-0.035083014	-0.083344791	-0.12308	-0.03724976	0.071863703	0.019221914	-0.017601159	-0.053633196	-0.010876082	-0.030007388	0.024928821	-0.08426476	0.001053056	-0.02165122	-0.083191704	0.004604286	-0.023110685	-0.148481288	-0.016343866	0.003678689	-0.034637507	0.038113097	-0.04721395	-0.028013743	-0.113174234	0.034768948	0.004792988	-0.026236528	0.006737841	0.020155212	0.046656899	0.102309167	0.078893016	-0.014988056	0.00606837	0.010975336	-0.006357181
EDNA20_474086	ESS	East	Shelf_deep	0.040081799	0.168107068	0.0278836	-0.060316726	0.008339479	0.150375075	-0.086892623	-0.157089032	-0.171985184	-0.02697196	0.115381137	0.036542766	-0.267793968	0.058420918	0.101770302	0.08470711	-0.00053236	-0.032014507	-0.002213655	-0.02340075	-0.042593381	0.068999721	-0.07960128	0.061563827	0.078710484	0.02347247	-0.082300835	0.101729688	0.042272878	0.028112981	-0.042157207	0.012230597	-0.025807886	0.077929421	-0.085898806	0.050912129	-0.051718707	0.044646036	-0.053955256	-0.118519966	0.023473735	-0.046513488	0.033112106	-0.012369241	-0.025241238	0.041546148	-0.006116576	-0.037801457	0.001836419	-0.077924267	0.026218375	0.068650633	-0.023219743
EDNA20_474091	ESS	East	Shelf_deep	-0.080121902	0.307054691	0.114838118	-0.06694061	-0.147537518	0.273782007	-0.012823284	-0.162566159	0.05623081	0.150441933	-0.126134485	-0.073884551	-0.077786572	-0.022710702	-0.054453173	0.026748006	0.064956287	-0.035018484	0.028354862	0.029699317	0.078323759	0.057353975	0.00975066	-0.006321105	-0.057986475	-0.03697043	-0.148001389	-0.094955755	0.121860953	-0.019713318	0.118236691	0.081727185	0.024790617	-0.125359263	0.022943022	-0.042888948	0.121123485	0.065034698	0.000285401	0.0097723	0.023942346	0.071945199	0.027468718	-0.076791477	0.051205909	-0.019774861	-0.007100367	-0.006530085	0.003505263	-0.010511138	-0.011030622	-0.000372915	-0.004161267
EDNA20_474099	ESS_Banks	East	Shelf_bank	-0.244339246	0.109822102	-0.008154278	0.270211755	-0.068119026	0.032757937	0.152953165	-0.204103491	0.052697693	0.048854153	0.023913241	-0.054238647	0.09320775	0.042720767	0.122383361	-0.063162622	0.043259541	-0.015999608	0.036414891	0.121294463	0.078253806	0.074379835	0.047419197	-0.038739626	0.06145907	0.097291192	-0.148690614	-0.013794364	-0.145319909	0.016316088	-0.040517246	-0.130814722	-0.03335303	0.073968259	0.029209626	0.085422467	0.028622174	-0.01728328	0.042894437	0.055954289	0.025204948	0.039652784	0.076335023	0.050922922	-0.004404504	0.058129739	0.040001081	-0.021499398	-0.022517696	-0.034938662	-0.009497524	-0.044810786	0.006167521
EDNA20_474103	ESS_Banks	East	Shelf_bank	-0.0757825	0.404837538	0.045448001	-0.123386341	0.088350628	-0.089537768	-0.006922691	0.056763115	0.047858746	0.006451273	0.02461968	-0.113059626	-0.117639259	-0.146562662	0.015014191	-0.110575758	-0.185200519	0.019296751	-0.201650786	0.06649708	0.009279955	0.021451791	-0.071705949	-0.142062853	0.171264449	0.034462088	-0.065535853	0.040908332	0.032948766	-0.022539372	0.045199441	-0.02500322	0.02696037	-0.016881053	0.075818334	-0.09869616	-0.004935506	-0.003945922	-0.030653794	0.051172274	0.046919637	-0.11024953	-0.030139738	0.057928992	-0.029969183	-0.037094866	0.022722047	0.028513306	0.001678854	-0.01224014	-0.035734813	-0.007590766	0.003754265
EDNA20_474107	ESS_Banks	East	Shelf_bank	-0.12396376	0.239891238	0.022773267	0.129909531	-0.068564731	0.197522676	-0.115512866	-0.217981077	0.113006034	0.173966853	-0.059438182	0.012591066	-0.080631554	0.155285521	0.12552297	-0.151205917	0.030603831	0.097132957	-0.046280605	0.009824696	0.035899563	-0.099659637	-0.118397839	0.076573052	-0.125882546	-0.044422707	0.12667019	0.024402326	-0.033763806	0.070238399	0.007946421	-0.011303341	-0.01189316	0.05133633	0.085848533	-0.065912604	-0.095894947	-0.105232818	-0.030271915	-0.014739625	-0.044238823	-0.027432726	-0.057571728	0.003239485	0.021722087	-0.00713907	-0.009335512	0.005165716	-0.036021314	0.047701409	0.016448275	-2.01E-05	0.008613088
