"","Actiniaria","Actiniidae","Actinostola","Alosa pseudoharengus","Alosa sapidissima","Amblyraja radiata","Ammodytes dubius","Anarhichas lupus","Annelida","Anonyx","Anthozoa","Aphrodita hastata","Arctozenus risso","Argentina silus","Argis dentata","Artediellus atlanticus","Ascidia","Aspidophoroides monopterygius","Asterias forbesi","Asterias rubens","Asteroidea","Astropecten americanus","Atlantopandalus propinqvus","Axius serratus","Benthosema glaciale","Bivalvia","Bolocera","Boltenia","Brachiopoda","Brisaster fragilis","Buccinum undatum","Cancer borealis","Cancer irroratus","Centroscyllium fabricii","Ceramaster granularis","Chionoecetes opilio","Chirona hameri","Chlamys islandica","Chlorophthalmus agassizi","Citharichthys arctifrons","Clupea harengus","Clypeasteroida","Colus","Crangon septemspinosa","Crinoidea","Crossaster papposus","Ctenodiscus crispatus","Ctenophora","Cucumaria frondosa","Cyanea capillata","Decapoda","Dichelopandalus leptocerus","Dipturus laevis","Enchelyopus cimbrius","Epizoanthus","Eualus fabricii","Eualus gaimardii","Euphausiacea","Euspira heros","Flustra foliacea","Gadus morhua","Gaidropsarus ensis","Gersemia rubiformis","Glyptocephalus cynoglossus","Gorgonocephalidae","Haliclona oculata","Helicolenus dactylopterus","Hemitripterus americanus","Henricia","Hippasteria phrygiana","Hippoglossina oblonga","Hippoglossoides platessoides","Hippoglossus hippoglossus","Homarus americanus","Hormathia","Hyas","Hyas araneus","Hyas coarctatus","Hydrozoa","Illex illecebrosus","Lebbeus polaris","Leptagonus decagonus","Leptasterias","Leptasterias polaris","Leptoclinus maculatus","Leucoraja","Leucoraja erinacea","Leucoraja ocellata","Limanda ferruginea","Liparis gibbus","Lithodes maja","Loligo pealeii","Lophaster furcifer","Lophius americanus","Lumpenus lampretaeformis","Lycenchelys verrillii","Lycodes lavalaei","Lycodes vahlii","Lycodichthys dearborni","Malacoraja senta","Mallotus villosus","Maurolicus muelleri","Meganyctiphanes norvegica","Melanogrammus aeglefinus","Merluccius albidus","Merluccius bilinearis","Modiolus modiolus","Munida valida","Munidopsis curvirostra","Myctophidae","Myoxocephalus aenaeus","Myoxocephalus octodecemspinosus","Mytilidae","Mytilus edulis","Myxine glutinosa","Naticidae","Nemichthys scolopaceus","Nephtheidae","Neptunea decemcostata","Nezumia","Nezumia bairdii","Notoscopelus elongatus","Nudibranchia","Nymphon","Octopoda","Ophiacantha abyssicola","Ophiacantha bidentata","Ophiopholis aculeata","Ophiura sarsi","Ophiuroidea","Paguridae","Pagurus acadianus","Pandalus borealis","Pandalus montagui","Paraliparis calidus","Paraliparis copei","Pasiphaea multidentata","Pennatula aculeata","Pennatulacea","Pentanemus quinquarius","Peprilus triacanthus","Phycis chesteri","Placopecten magellanicus","Pollachius virens","Polychaeta","Polymastia","Polymastia andrica","Pontaster","Pontophilus norvegicus","Porania pulvillus","Poraniomorpha hispida","Porifera","Pseudarchaster parelii","Pseudopleuronectes americanus","Psilaster andromeda","Psolus phantapus","Pteraster pulvillus","Pycnogonida","Pycnogonum litorale","Reinhardtius hippoglossoides","Sclerasterias tanneri","Sclerocrangon boreas","Scomber scombrus","Scophthalmus aquosus","Scyphozoa","Sebastes","Sepiolina","Sipuncula","Solaster","Solaster endeca","Spirontocaris lilljeborgii","Spirontocaris spinus","Spisula solidissima","Squalus acanthias","Stomias boa","Stomphia coccinea","Strongylocentrotus","Strongylocentrotus droebachiensis","Suberites ficus","Symphurus","Tautogolabrus adspersus","Terebratulina","Triglops murrayi","Tunicata","Ulvaria subbifurcata","Urophycis chuss","Urophycis tenuis","Vazella pourtalesii","Zoarces americanus"
"EDNA20-478618",NA,NA,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.25,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,6.25,NA,NA,NA,NA,1.25,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,16.25,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,138.75,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,108.75,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,10,NA,NA
"EDNA20-478631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888888888889,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,33.0555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9444444444444,NA,30.1388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6666666666667,NA,3.88888888888889,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80555555555556,NA,NA,NA
"EDNA20-478635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,9.26470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4117647058824,NA,9.26470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84375,NA,NA,NA,NA,NA,NA,NA,22.96875,1.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074.0625,NA,NA,NA,NA,NA,NA,NA,NA,5.46875,NA,NA,2.1875,NA,NA,NA,1.09375,4.375,NA,NA,1.09375,1.09375,NA,NA,NA,NA,NA,NA,24.0625,NA,NA,NA,NA,NA,NA,1.09375,2.1875,17.5,NA,NA,NA,NA,1.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.3125,NA,7.65625,NA,NA,NA,NA,NA,15.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.59375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1875,NA,NA,NA
"EDNA20-478655",1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6111111111111,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3055555555556,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,535.694444444444,NA,NA,NA,NA,NA,NA,3.88888888888889,1.94444444444444,NA,NA,NA,NA,24.3055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5833333333333,1.94444444444444,27.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,0.972222222222222,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,220.694444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83333333333333,NA,NA
"EDNA20-478672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,0.972222222222222,NA,NA,5.83333333333333,NA,NA,NA,26.25,NA,NA,19.4444444444444,NA,NA,9.72222222222222,NA,NA,NA,1.94444444444444,NA,0.972222222222222,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,6.80555555555556,0.972222222222222,18.4722222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,3.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5833333333333,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6388888888889,NA,NA,NA
"EDNA20-478677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2941176470588,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,19.5588235294118,NA,NA,NA,NA,NA,NA,5.14705882352941,NA,1.02941176470588,NA,111.176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,3.08823529411765,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,49.4117647058824,18.5294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,17.5,1.02941176470588,NA,237.794117647059,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3235294117647,NA,NA,NA,NA,NA,3.08823529411765,NA,NA,1.02941176470588,NA,NA,NA,NA,3.08823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08823529411765,NA,NA,18.5294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05882352941176,NA,12.3529411764706,10.2941176470588,NA,1.02941176470588
"EDNA20-478685",NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,6.80555555555556,NA,NA,4.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,38.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83333333333333,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80555555555556,NA,115.694444444444,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0277777777778,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,58.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6111111111111,2.91666666666667,0.972222222222222,NA
"EDNA20-478689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,1,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11764705882353,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,5.14705882352941,NA,NA,NA,NA,NA,NA,NA,NA,23.6764705882353,NA,NA,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5,NA,11.3235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08823529411765,1.02941176470588,NA,NA
