Taxa,EDNA20-474103,EDNA20-478993,EDNA20-478981,EDNA20-474014,EDNA20-474091,EDNA20-474086,EDNA20-478907,EDNA20-478851,EDNA20-478949,EDNA20-478941,EDNA20-478929,EDNA20-478985,EDNA20-478895,EDNA20-474043,EDNA20-478959,EDNA20-478954,EDNA20-478847,EDNA20-474099,EDNA20-478969,EDNA20-474198,EDNA20-474143,EDNA20-478989,EDNA20-474107,EDNA20-474079,EDNA20-474179,EDNA20-478997,EDNA20-478973,EDNA20-478977,EDNA20-474254,EDNA20-474001,EDNA20-478887,EDNA20-478655,EDNA20-478672,EDNA20-478685,EDNA20-478631,EDNA20-478618,EDNA20-478748,EDNA20-478752,EDNA20-474207,EDNA20-478677,EDNA20-478964,EDNA20-474237,EDNA20-478933,EDNA20-478745,EDNA20-478639,EDNA20-478689,EDNA20-478635,EDNA20-478706,EDNA20-474005,EDNA20-478867,EDNA20-474217,EDNA20-474148,EDNA20-474160,EDNA20-474175,EDNA20-478732
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067768595,0,0,0,0.001963393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008854521,0,0,0,0,0,0,0,0,0.041810401,0,0,0,0,0,0,0,0,0,0.050197406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073284199,0,0,0.03293131,0.002765821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002498767,0,0,0,0,0,0,0,0,0,0,0
Ammodytes personatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031085681,0,0,0,0,0,0,0,0.007819855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes sp,0,0.102375401,0.059065857,0,0,0.001311121,0,0,0,0,0,0,0,0,0,0,0.138228942,1,0,0.646090505,0,0.024940466,0.031062315,0.609610138,0,0.875302417,0,0,0.878727359,0.964368369,0,0,0,0.377396893,0.084154363,0,0,0,0.791934574,0,0,0.048709856,0,0.943850185,0.051266127,0.052237411,0,0,0,0,0.149227186,0,0.012878413,0,0
Anisarchus medius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13715792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,0,0,0,0.008820709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052998666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405665588,0,0.106372483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793159142,0,0,0,0,0,0,0,0,0,0,0,0.03919241,0,0
Brosme brosme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113932887,0,0,0,0,0,0,0,0,0.068769857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017713799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
