"","Taxa","EDNA20.474103","EDNA20.478993","EDNA20.478981","EDNA20.474014","EDNA20.474091","EDNA20.474086","EDNA20.478907","EDNA20.478851","EDNA20.478949","EDNA20.478941","EDNA20.478929","EDNA20.478985","EDNA20.478895","EDNA20.474043","EDNA20.478959","EDNA20.478954","EDNA20.478847","EDNA20.474099","EDNA20.478969","EDNA20.474198","EDNA20.474143","EDNA20.478989","EDNA20.474107","EDNA20.474079","EDNA20.474179","EDNA20.478997","EDNA20.478973","EDNA20.478977","EDNA20.474254","EDNA20.474001","EDNA20.478887","EDNA20.478655","EDNA20.478672","EDNA20.478685","EDNA20.478631","EDNA20.478618","EDNA20.478748","EDNA20.478752","EDNA20.474207","EDNA20.478677","EDNA20.478964","EDNA20.474237","EDNA20.478933","EDNA20.478745","EDNA20.478639","EDNA20.478689","EDNA20.478635","EDNA20.478706","EDNA20.474005","EDNA20.478867","EDNA20.474217","EDNA20.474148","EDNA20.474160","EDNA20.474175","EDNA20.478732","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"1","Alosa pseudoharengus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067768595,0,0,0,0.001963393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,31.17816092,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amblyraja radiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008854521,0,0,0,0,0,0,0,0,0.041810401,0,0,0,0,0,0,0,0,0,0.050197406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.988636364,0,0,0,0,0,0,0,0,0,3.070175439,0.994318182,0,0,0,34.41011236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0
"3","Argentina silus",0,0,0,0,0,0,0.008820709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052998666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,1.005747126,0,0,0,0,0,0,0,0
"4","Benthosema glaciale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405665588,0,0.106372483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793159142,0,0,0,0,0,0,0,0,0,0,0,0.03919241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Centroscyllium fabricii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017713799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Citharichthys arctifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372549479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,22.96875,0,0,1.029411765,2.916666667,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.994318182,0
"7","Clupea harengus",0.007385004,0,0,0,0,0,0.220325983,0,0,0,0.002667953,0,0.002002861,0.593309742,0.004690432,0,0,0,0,0,0,0,0,0.390389862,0,0,0,0.01959185,0,0,0,0,0,0.516336369,0,0,0.018733697,0.003819741,0,0,0,0,0,0,0,0.057964436,0.029332639,0.002347334,0,0,0,0,0,0,0,0,0,5,261.4942529,12.92613636,5,13.15028902,0,25.85227273,1.988636364,0,177.0467836,0,14.08045977,95.57692308,0,0,1.206896552,8,1.25,0,0,1.09375,0,0.972222222,19.55882353,38.88888889,133,0,0,4.242424242,57.16666667,287.65625,0,0,24.27745665,15.26162791,32.18390805,1.988636364,40,32,2.916666667,4.915730337,3.034682081,0,0,30,0.951086957,0,0,0,0,0,0
"8","Enchelyopus cimbrius",0,0,0,0,0.374349943,0,0.000767018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999550198,0,0.544925139,0,0,0,0,0.576740217,0,0.023942714,0,0,0,0,0,0,0,0,0,0,0,0.112270158,0.001331022,0,0,0,0,0,0,0,3,1.011560694,0,0,0,0,1.023391813,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052325581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Glyptocephalus cynoglossus",0.14847745,0,0,0,0,0.389942928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037126,0.021503206,0,0,0,0.184125192,0,0,0,0,0,0,0,0,0,0.045281314,0,0.183858983,0,0,0,0,0.074412646,0,0,0,0,0,0,0,0,0,0.086105965,0,0.337066906,0,0,0,0,0,0,8,3.034682081,0,0,0,3.017241379,7.16374269,16.90340909,375.1436782,49.80769231,1.43442623,6.882022472,0,55,6.25,0,0,2.1875,0.972222222,0.972222222,1.029411765,5.833333333,0,0,0,2.121212121,3.5,0,1.01744186,0,0,7.122093023,3.017241379,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0
"10","Helicolenus dactylopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539365851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011527994,0,0,0,0,0,0,0,0.004389713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.960227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.6944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.888888889,0,35.40462428,167.0454545,18.10344828,0,0,0,0,0,0,0,0
