Taxa	EDNA20_474001	EDNA20_474001_2	EDNA20_474005	EDNA20_474005_2	EDNA20_474014	EDNA20_474014_2	EDNA20_474043	EDNA20_474043_2	EDNA20_474079	EDNA20_474079_2	EDNA20_474086	EDNA20_474086_2	EDNA20_474091	EDNA20_474091_2	EDNA20_474099	EDNA20_474099_2	EDNA20_474103	EDNA20_474103_2	EDNA20_474107	EDNA20_474107_2	EDNA20_474143	EDNA20_474143_2	EDNA20_474148	EDNA20_474148_2	EDNA20_474160	EDNA20_474160_2	EDNA20_474175	EDNA20_474175_2	EDNA20_474179	EDNA20_474179_2	EDNA20_474198	EDNA20_474198_2	EDNA20_474207	EDNA20_474207_2	EDNA20_474217	EDNA20_474217_2	EDNA20_474237	EDNA20_474237_2	EDNA20_478618	EDNA20_478618_2	EDNA20_478631	EDNA20_478631_2	EDNA20_478635	EDNA20_478635_2	EDNA20_478639	EDNA20_478639_2	EDNA20_478655	EDNA20_478655_2	EDNA20_478672	EDNA20_478672_2	EDNA20_478677	EDNA20_478677_2	EDNA20_478685	EDNA20_478685_2	EDNA20_478689	EDNA20_478689_2	EDNA20_478706	EDNA20_478706_2	EDNA20_478732	EDNA20_478732_2	EDNA20_478745	EDNA20_478745_2	EDNA20_478748	EDNA20_478748_2	EDNA20_478752	EDNA20_478752_2	EDNA20_478847	EDNA20_478847_2	EDNA20_478851	EDNA20_478851_2	EDNA20_478867	EDNA20_478867_2	EDNA20_478887	EDNA20_478887_2	EDNA20_478895	EDNA20_478895_2	EDNA20_478907	EDNA20_478907_2	EDNA20_478929	EDNA20_478929_2	EDNA20_478933	EDNA20_478933_2	EDNA20_478941	EDNA20_478941_2	EDNA20_478949	EDNA20_478949_2	EDNA20_478954	EDNA20_478954_2	EDNA20_478959	EDNA20_478959_2	EDNA20_478964	EDNA20_478964_2	EDNA20_478969	EDNA20_478969_2	EDNA20_478973	EDNA20_478973_2	EDNA20_478977	EDNA20_478977_2	EDNA20_478981	EDNA20_478981_2	EDNA20_478985	EDNA20_478985_2	EDNA20_478989	EDNA20_478989_2	EDNA20_478993	EDNA20_478993_2	EDNA20_478997	EDNA20_478997_2
Alosa_pseudoharengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067768595	1.25	0	0	0	0	0	0	0	0	0	0	0.001963393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01744186	0	31.17816092	0	1.988636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyraja_radiata	0	0	0	1.988636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.070175439	0	0.994318182	0	0	0	0	0.008854521	0	0.050197406	34.41011236	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005747126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina_silus	0	0	0	2.982954545	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.61111111	0	0	0.052998666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008820709	0	0	0	0	0	0	0	0	0	0	0	0	2.982954545	0	1.005747126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Benthosema_glaciale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106372483	0	0	0	0.03919241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.972222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.793159142	0	0.405665588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centroscyllium_fabricii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017713799	11.06321839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citharichthys_arctifrons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.944444444	0	0	0.372549479	22.96875	0	0	0	0	0	1.029411765	0	2.916666667	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.994318182	0	0
Clupea_harengus	0	0	0	0	0	5	0.593309742	261.4942529	0.390389862	12.92613636	0	5	0	13.15028902	0	0	0.007385004	25.85227273	0	1.988636364	0	0	0	177.0467836	0	0	0	14.08045977	0	95.57692308	0	0	0	0	0	1.206896552	0	8	0	1.25	0	0	0.029332639	0	0	1.09375	0	0	0	0.972222222	0	19.55882353	0.516336369	38.88888889	0.057964436	133	0.002347334	0	0	0	0	4.242424242	0.018733697	57.16666667	0.003819741	287.65625	0	0	0	0	0	24.27745665	0	15.26162791	0.002002861	32.18390805	0.220325983	1.988636364	0.002667953	40	0	32	0	2.916666667	0	4.915730337	0	3.034682081	0.004690432	0	0	0	0	30	0	0.951086957	0.01959185	0	0	0	0	0	0	0	0	0	0	0
Enchelyopus_cimbrius	0	0	0	0	0	0	0	0	0	0	0	3	0.374349943	1.011560694	0	0	0	0	0	0	0	0	0.112270158	1.023391813	0.001331022	0	0	2.011494253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544925139	0	0.023942714	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576740217	0	0	0	0	0	0	0	0.999550198	3.052325581	0	0	0.000767018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyptocephalus_cynoglossus	0	0	0	0	0	0	0	0	0	0	0.389942928	8	0	3.034682081	0	0	0.14847745	0	0	0	0.021503206	3.017241379	0.086105965	7.16374269	0	16.90340909	0.337066906	375.1436782	0.184125192	49.80769231	0.0037126	1.43442623	0	6.882022472	0	0	0.074412646	55	0	6.25	0.045281314	0	0	0	0	2.1875	0	0.972222222	0	0.972222222	0	1.029411765	0	5.833333333	0	0	0	0	0	0	0	2.121212121	0.183858983	3.5	0	0	0	1.01744186	0	0	0	0	0	7.122093023	0	3.017241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicolenus_dactylopterus	0	1	0	6.960227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011527994	535.6944444	0	0	0.004389713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3.888888889	0	0	0.539365851	35.40462428	0	167.0454545	0	18.10344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hippoglossus_hippoglossus	0.00476532	0	0	0	0	4	0	1.005747126	0	0	0	0	0	0	0	0	0	0.994318182	0	0	0	0	0	1.023391813	0	0	0.135122129	1.005747126	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1.09375	0	0	0	0	0.098564603	0	0	0	0	2	0	1.029411765	0.018270652	1.09375	0	0	0.524385424	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0.017641419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.912568306	0	0	0	0	0	0	0	0	0	0
Leptoclinus_maculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.122093023	0	31.81818182	0.336060005	5.965909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucoraja_erinacea	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085775554	1.09375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032846983	0	0	0	0	0	0	1.01744186	0	0	0	0	0	0	0	0	0	15.90909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093212351	0	0.21375351	0	0.274693855	12.78089888	0.368300413	28	0.008214931	3.017241379	0.648134655	0	0	0.983146067
Lophius_americanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005650653	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1.25	0	0	0	0	0	1.09375	0	0	0	1.944444444	0	1.029411765	0	1.944444444	0	0	0	2.058823529	0	0	0	0	0	0	0	0	0	3.052325581	0	0	0	0	0	0	0	2.011494253	0	0	0	2	0	0	0	0.972222222	0	0.983146067	0	0	0	0	0	0	0	0	0.024946345	0.951086957	0	0	0.114350746	0.983146067	0	1	0	0	0	0	0.025177944	0.983146067
Lumpenus_lampretaeformis	0	0	0	0	0	0	0	0	0	0	0	0	0.24842574	3.034682081	0	0	0.428220919	8.948863636	0.202570862	10.9375	0	0	0	0	0	0	0	0	0	0	0.007844306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melanogrammus_aeglefinus	0	31	0	3.977272727	0.148220803	353	0.264739267	179.0229885	0	0.994318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.384615385	0	0	0	0	0.160787635	100.1724138	0	119	0	22.5	0.066933913	36.94444444	0	49.41176471	0.153728073	120.3125	0	14.58333333	0	6.805555556	0.23006986	1.029411765	0	6.805555556	0	33	0	122.5	0.008122503	219.84375	0	0	0	0	0	1.09375	0	11.19186047	0	170.0842697	0	14.16184971	0	0	0	84.48275862	0	8.948863636	0	8	0	16	0	9.722222222	0	16.71348315	0	18.20809249	0	1.988636364	0	13.07471264	0	393	0.231195298	1385.733696	0	805.1912568	0.13752563	576.1235955	0	9	0	8.045977011	0	265.4829545	0.003861123	1405.898876
Merluccius_albidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003305785	0	0	0	0	0	0.001031182	0	0.655530359	1.944444444	0	0.972222222	0	0	0	0	0	0	0	0	0.011779422	0	0	0	0	0	0	0	0	0	0.013800425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merluccius_bilinearis	0.004402891	0	0.527338129	0	0	83	0	0	0	0	0.551210859	56	0	2.023121387	0	0	0	0	0	0.994318182	0.000762366	3.017241379	0.101060269	2.046783626	0	0	0	12.06896552	0	0	0	0	0	0.983146067	0.000127038	13.27586207	0.791375019	90	0	138.75	0.536826356	30.13888889	0	9.264705882	0	7.65625	0.194903459	27.22222222	0.166874857	18.47222222	0.257730557	237.7941176	0.106266738	115.6944444	0.133523789	5	0.106275086	11.32352941	0.957708411	5.46875	0.003856403	13.78787879	0.205596396	519.1666667	0	22.96875	0.472433784	32.55813953	0	0.983146067	0.118814019	184.1040462	0	293.0232558	0	84.48275862	0.004793864	221.7329545	0	265	0.239218391	216	0	42.77777778	0	14.74719101	0.445260838	431.9364162	0	24.85795455	0	2.011494253	0	522	0.046449396	6.657608696	0.183918684	3.825136612	0.032956491	21.62921348	0.337625321	80	0.424707123	26.14942529	0	0	0	0
Myoxocephalus_octodecemspinosus	0	0	0	0	0.399361314	46	0	9.051724138	0	0	0	0	0	0	0	1.01744186	0	0.994318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.59550562	0	0	0	4	0.000826446	1.25	0	0	0	0	0.081896905	15.3125	0	0	0	0	0	1.029411765	0	0.972222222	0	1	0.055601347	0	0	0	0.004654055	12.72727273	0	3.5	0.07862977	0	0	1.01744186	0	0	0	0	0	0	0	0	0	92.47159091	0	0	0	0	0.000395257	0	0	0	0	0	0	0	0	0	0	0	0.03718094	0.951086957	0	2.868852459	0.104230545	149.4382022	0	3	0	0	0	0	0.007513271	0
Notoscopelus_elongatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.011494253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004917031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycis_chesteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059060944	2.011494253	0	0	0	0.994318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001769285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollachius_virens	0.010370675	22	0	7.954545455	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.022988506	0	0	0	0	0	0	0	0	0	0	0	0	0	76.03448276	0	0	0	178.75	0	0	0	0	0	0	0	1.944444444	0	0	0	3.088235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.27745665	0	0	0	0	0	0	0	18	0	4	0	6.805555556	0	0	0	17.19653179	0	9.943181818	0.032504171	31.17816092	0	1	0	0.951086957	0	3.825136612	0	0	0	0	0	0	0	0	0	0
Scomber_scombrus	0	43	0	4.971590909	0	0	0	0	0	0	0	0	0.195324572	0	0	0	0	0	0	0	0	0	0.384351305	12.28070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.888888889	0	0	0	0	0	0	0.052217667	0	0.027167016	3.088235294	0	0	0	0	0	0	0	0	0.009070442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020005375	0	0	0	0	0	0	0	0	0	0	0	0	0
