"","Taxa","EDNA20.474103","EDNA20.478993","EDNA20.478981","EDNA20.474014","EDNA20.474091","EDNA20.474086","EDNA20.478907","EDNA20.478851","EDNA20.478949","EDNA20.478941","EDNA20.478929","EDNA20.478985","EDNA20.478895","EDNA20.474043","EDNA20.478959","EDNA20.478954","EDNA20.478847","EDNA20.474099","EDNA20.478969","EDNA20.474198","EDNA20.474143","EDNA20.478989","EDNA20.474107","EDNA20.474079","EDNA20.474179","EDNA20.478997","EDNA20.478973","EDNA20.478977","EDNA20.474254","EDNA20.474001","EDNA20.478887","EDNA20.478655","EDNA20.478672","EDNA20.478685","EDNA20.478631","EDNA20.478618","EDNA20.478748","EDNA20.478752","EDNA20.474207","EDNA20.478677","EDNA20.478964","EDNA20.474237","EDNA20.478933","EDNA20.478745","EDNA20.478639","EDNA20.478689","EDNA20.478635","EDNA20.478706","EDNA20.474005","EDNA20.478867","EDNA20.474217","EDNA20.474148","EDNA20.474160","EDNA20.474175","EDNA20.478732","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"1","Alosa pseudoharengus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067768595,0,0,0,0.001963393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065116279,5.394827586,0.278409091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amblyraja radiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008854521,0,0,0,0,0,0,0,0,0.041810401,0,0,0,0,0,0,0,0,0,0.050197406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.958806818,0,0,0,0,0,0,0,0,0,1.111403509,0.014914773,0,0,0,5.859550562,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.155172414,0,0,0,0,0,0,0,0
"3","Argentina silus",0,0,0,0,0,0,0.008820709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052998666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39375,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.443055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797443182,0.279597701,0,0,0,0,0,0,0,0
"4","Benthosema glaciale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405665588,0,0.106372483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793159142,0,0,0,0,0,0,0,0,0,0,0,0.03919241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Centroscyllium fabricii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017713799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24841954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Citharichthys arctifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372549479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010694444,0,0.319375,0,0,0.026764706,0.033055556,0,0,0,0,0,0,0.02747093,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0.005965909,0
"7","Clupea harengus",0.007385004,0,0,0,0,0,0.220325983,0,0,0,0.002667953,0,0.002002861,0.593309742,0.004690432,0,0,0,0,0,0,0,0,0.390389862,0,0,0,0.01959185,0,0,0,0,0,0.516336369,0,0,0.018733697,0.003819741,0,0,0,0,0,0,0,0.057964436,0.029332639,0.002347334,0,0,0,0,0,0,0,0,0,0.89,44.24281609,1.938920455,1.15,2.24566474,0,4.325284091,0.491193182,0,42.31725146,0,3.067528736,25.06538462,0,0,0.305344828,1.384,0.2875,0,0,0.18046875,0,0.165277778,4.189705882,7.505555556,24.73,0,0,0.932272727,9.998333333,54.5234375,0,0,4.552023121,0.198401163,2.514367816,0.292329545,7.04,5.39,0.554166667,1.297752809,0.586705202,0,0,4,0.116032609,0,0,0,0,0,0
"8","Enchelyopus cimbrius",0,0,0,0,0.374349943,0,0.000767018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999550198,0,0.544925139,0,0,0,0,0.576740217,0,0.023942714,0,0,0,0,0,0,0,0,0,0,0,0.112270158,0.001331022,0,0,0,0,0,0,0,0.15,0.068786127,0,0,0,0,0.044005848,0,0.049281609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13125,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Glyptocephalus cynoglossus",0.14847745,0,0,0,0,0.389942928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037126,0.021503206,0,0,0,0.184125192,0,0,0,0,0,0,0,0,0,0.045281314,0,0.183858983,0,0,0,0,0.074412646,0,0,0,0,0,0,0,0,0,0.086105965,0,0.337066906,0,0,0,0,0,0,0.62,0.414739884,0,0,0,0.422413793,2.302631579,3.572585227,88.60632184,9.180769231,0.272540984,1.46488764,0,6.83,0.43,0,0,0.39046875,0.178888889,0.003888889,0.075147059,1.166666667,0,0,0,0.361666667,0.243833333,0,0.468023256,0,0,2.380813953,0.985632184,0,0,0,0,0,0,0.427556818,0,0,0,0,0,0,0,0,0
"10","Helicolenus dactylopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539365851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011527994,0,0,0,0,0,0,0,0.004389713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.081534091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.104,0,1.184166667,0,6.797687861,78.04403409,11.73706897,0,0,0,0,0,0,0,0
"11","Hippoglossus hippoglossus",0,0,0,0,0,0,0.017641419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476532,0,0,0,0,0,0,0.524385424,0,0,0.098564603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135122129,0.018270652,0,0,3.36,0.225287356,0,0,0,0,59.65909091,0,0,9.425438596,0,4.364942529,0,0,0,0,3.95,0,0,0,9.296875,0,0,0,0,23.81,6.155882353,1.2228125,0,7.128333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.930327869,0,0,0,0,0
"12","Leptoclinus maculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336060005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022383721,0.171022727,0.031818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Leucoraja erinacea",0,0.648134655,0.274693855,0,0,0,0,0,0,0,0,0.368300413,0,0,0,0,0,0,0,0,0,0.008214931,0,0,0,0,0.093212351,0.21375351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032846983,0.085775554,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844375,0,0,0,0,0,0,0,0,0,0,0.427325581,0,0,0,0,8.998579545,0,0,0,0,0,0,0,0,0,0,8.514044944,15.59,1.488505747,0,0.794382022
"14","Lophius americanus",0,0,0.114350746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025177944,0.024946345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005650653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0.31375,0,0,0.22859375,0,2.00375,0.260441176,2.775694444,0,0.473529412,0,0,0,0,6.531976744,0,0,0,1.03591954,0,0.746,0,4.375,3.037921348,0,0,0,0,2.605978261,0,2.713483146,2.54,0,0,4.384831461
"15","Lumpenus lampretaeformis",0.428220919,0,0,0,0.24842574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007844306,0,0,0.202570862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075867052,0,0.201846591,0.316193182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Melanogrammus aeglefinus",0,0,0.13752563,0.148220803,0,0,0,0,0,0,0,0,0,0.264739267,0,0,0,0,0,0,0,0,0,0,0,0.003861123,0.231195298,0,0,0,0,0,0,0,0.066933913,0,0,0,0,0.23006986,0,0,0,0,0.153728073,0,0,0,0,0,0.160787635,0,0,0,0.008122503,16.165,3.221590909,26.848,22.21091954,0.006960227,0,0,0,0,0,0,0,0,0,4.401923077,0,0,113.4724138,47.74,9.05,12.74583333,17.96323529,35.21875,13.43611111,4.501388889,0.498235294,1.821944444,5.975,30.32647059,60.090625,0,0,0.24609375,1.109011628,8.604494382,12.30057803,0,61.57183908,0.1859375,8.54,8.66,5.259722222,17.73595506,12.21965318,1.292613636,1.295402299,361.643,279.2182065,323.154235,199.9119382,0.094,1.186781609,5.649715909,19.81235955
"17","Merluccius albidus",0,0,0,0,0,0,0,0.013800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655530359,0,0,0,0.003305785,0,0,0,0,0,0,0,0,0.001031182,0,0,0,0,0,0,0,0,0,0.011779422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810833333,0.739861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Merluccius bilinearis",0,0,0.032956491,0,0,0.551210859,0.004793864,0,0,0,0,0.337625321,0,0,0,0.445260838,0.472433784,0,0,0,0.000762366,0.424707123,0,0,0,0,0.046449396,0.183918684,0,0.004402891,0,0.194903459,0.166874857,0.106266738,0.536826356,0,0.205596396,0,0,0.257730557,0,0.791375019,0.239218391,0.003856403,0,0.133523789,0,0.106275086,0.527338129,0.118814019,0.000127038,0.101060269,0,0,0.957708411,0,0,7.16,0,0,6.25,0.194219653,0,0,0.181960227,1.06408046,0.523976608,0,1.015804598,0,0,0.077668539,4.272413793,13.94,15.925,1.559444444,0.776176471,0.643125,3.869444444,2.197222222,27.3,7.729166667,0.552,1.811764706,0.25265625,0.982121212,46.305,2.2203125,1.465116279,0.018679775,8.729768786,10.55087209,3.514382184,7.636363636,13.35,11.92,2.206944444,0.816011236,25.93641618,2.724431818,0.221264368,28.3,0.551630435,0.493442623,2.91011236,6.76,2.272988506,0,0
"19","Myoxocephalus octodecemspinosus",0,0,0.104230545,0.399361314,0,0,0,0,0,0.000395257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007513271,0.03718094,0,0,0,0,0,0,0,0,0.000826446,0,0.07862977,0,0,0,0,0,0.004654055,0.081896905,0,0,0.055601347,0,0,0,0,0,0,0,0,0,3.552,1.216954023,0,0,0,0.225872093,0.114346591,0,0,0,0,0,0,0,9.251404494,0,1.385,0.14125,0,0,2.3953125,0,0,0.144117647,0.119583333,0.128,0,0,1.130606061,0.333666667,0,0.010174419,0,0,0,0,7.258522727,0,0,0,0,0,0,0,0,0.243478261,0.420765027,27.23314607,0.395,0,0,0
"20","Notoscopelus elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004917031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Phycis chesteri",0,0,0,0,0,0,0,0.001769285,0,0,0,0,0,0,0,0,0,0,0,0,0.059060944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414367816,0,0.0328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pollachius virens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010370675,0,0,0,0,0,0,0,0,0,0,0.032504171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.08,18.18607955,0.798,0,0,0,0,0,0,0,5.481321839,0,0,0,0,0,0,121.3896552,0,53.6,0,0,0,1.485555556,0,6.382352941,0,0,0,0,0,0,0,0,0,33.90751445,0,0,0,34.02,5.81,7.427777778,0,32.00578035,13.16477273,89.8433908,2.012,0.119836957,10.23224044,0,0,0,0,0
