Taxa	E474001	E474001_2	E474005	E474005_2	E474014	E474014_2	E474043	E474043_2	E474079	E474079_2	E474086	E474086_2	E474091	E474091_2	E474099	E474099_2	E474103	E474103_2	E474107	E474107_2	E474143	E474143_2	E474148	E474148_2	E474160	E474160_2	E474175	E474175_2	E474179	E474179_2	E474198	E474198_2	E474207	E474207_2	E474217	E474217_2	E474237	E474237_2	E478618	E478618_2	E478631	E478631_2	E478635	E478635_2	E478639	E478639_2	E478655	E478655_2	E478672	E478672_2	E478677	E478677_2	E478685	E478685_2	E478689	E478689_2	E478706	E478706_2	E478732	E478732_2	E478745	E478745_2	E478748	E478748_2	E478752	E478752_2	E478847	E478847_2	E478851	E478851_2	E478867	E478867_2	E478887	E478887_2	E478895	E478895_2	E478907	E478907_2	E478929	E478929_2	E478933	E478933_2	E478941	E478941_2	E478949	E478949_2	E478954	E478954_2	E478959	E478959_2	E478964	E478964_2	E478969	E478969_2	E478973	E478973_2	E478977	E478977_2	E478981	E478981_2	E478985	E478985_2	E478989	E478989_2	E478993	E478993_2	E478997	E478997_2
Alosa_pseudoharengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0.1475	0	0	0	0	0	0	0	0	0	0	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065116279	0	5.394827586	0	0.278409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyraja_radiata	0	0	0	1.958806818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.111403509	0	0.014914773	0	0	0	0	7310	0	2670	5.859550562	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.155172414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina_silus	0	0	0	0.39375	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.443055556	0	0	32743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0.797443182	0	0.279597701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Benthosema_glaciale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4744	0	0	0	25323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000972222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74645	0	10282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centroscyllium_fabricii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0.24841954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citharichthys_arctifrons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010694444	0	0	31793	0.319375	0	0	0	0	0	0.026764706	0	0.033055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02747093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0.005965909	0	0
Clupea_harengus	0	0	0	0	0	0.89	8886	44.24281609	4436	1.938920455	0	1.15	0	2.24566474	0	0	608	4.325284091	0	0.491193182	0	0	0	42.31725146	0	0	0	3.067528736	0	25.06538462	0	0	0	0	0	0.305344828	0	1.384	0	0.2875	0	0	338	0	0	0.18046875	0	0	0	0.165277778	0	4.189705882	4820	7.505555556	4342	24.73	131	0	0	0	0	0.932272727	237	9.998333333	94	54.5234375	0	0	0	0	0	4.552023121	0	0.198401163	7	2.514367816	1149	0.292329545	94	7.04	0	5.39	0	0.554166667	0	1.297752809	0	0.586705202	20	0	0	0	0	4	0	0.116032609	1249	0	0	0	0	0	0	0	0	0	0	0
Enchelyopus_cimbrius	0	0	0	0	0	0	0	0	0	0	0	0.15	22531	0.068786127	0	0	0	0	0	0	0	0	14422	0.044005848	860	0	0	0.049281609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30973	0	14792	0	0	0	0	0	0	0	0	0	0	0	0	0	14193	0	0	0	0	0	0	0	11111	0.13125	0	0	4	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyptocephalus_cynoglossus	0	0	0	0	0	0	0	0	0	0	5056	0.62	0	0.414739884	0	0	12224	0	0	0	959	0.422413793	11061	2.302631579	0	3.572585227	20313	88.60632184	11413	9.180769231	3065	0.272540984	0	1.46488764	0	0	11152	6.83	0	0.43	1604	0	0	0	0	0.39046875	0	0.178888889	0	0.003888889	0	0.075147059	0	1.166666667	0	0	0	0	0	0	0	0.361666667	2326	0.243833333	0	0	0	0.468023256	0	0	0	0	0	2.380813953	0	0.985632184	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427556818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicolenus_dactylopterus	0	0.046	0	0.081534091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7976	55.98055556	0	0	2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.104	0	0	0	1.184166667	0	0	9543	6.797687861	0	78.04403409	0	11.73706897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
