Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Myoxocephalus_octodecemspinosus	1	0	0.301029996	0
Merluccius_albidus	4	0	0.698970004	0
Enchelyopus_cimbrius	4	0	0.698970004	0
Phycis_chesteri	10	0	1.041392685	0
Clupea_harengus	20	0	1.322219295	0
Argentina_silus	46	0	1.672097858	0
Merluccius_albidus	78	0	1.897627091	0
Merluccius_albidus	88	0	1.949390007	0
Hippoglossus_hippoglossus	92	0	1.968482949	0
Clupea_harengus	131	0	2.120573931	0
Squalus_acanthias	227	0	2.357934847	0
Clupea_harengus	338	0	2.530199698	0
Squalus_acanthias	735	0	2.866877814	0
Enchelyopus_cimbrius	860	0	2.935003151	0
Squalus_acanthias	1017	0	3.007747778	0
Alosa_pseudoharengus	1213	0	3.084218687	0
Clupea_harengus	1249	0	3.096910013	0
Merluccius_bilinearis	1466	0	3.166430114	0
Glyptocephalus_cynoglossus	1604	0	3.205475037	0
Squalus_acanthias	1673	0	3.223755454	0
Myoxocephalus_octodecemspinosus	1935	0	3.286905353	0
Sebastes	2126	0	3.32776749	0
Triglops_murrayi	2321	0	3.365862215	0
Urophycis_chuss	2438	0	3.3872118	0
Helicolenus_dactylopterus	2712	0	3.433449794	0
Urophycis_tenuis	2837	0	3.453012391	0
Sebastes	2851	0	3.455149521	0
Merluccius_bilinearis	2867	0	3.457579147	0
Scomber_scombrus	2968	0	3.472610198	0
Hippoglossus_hippoglossus	3103	0	3.491921713	0
Myoxocephalus_octodecemspinosus	3103	0	3.491921713	0
Notoscopelus_elongatus	3402	0	3.531861949	0
Lophius_americanus	3651	0	3.562530769	0
Urophycis_chuss	3775	0	3.577031986	0
Urophycis_tenuis	4467	0	3.650113164	0
Benthosema_glaciale	4744	0	3.676236217	0
Myoxocephalus_octodecemspinosus	5357	0	3.729002709	0
Urophycis_chuss	5389	0	3.731588765	0
Zoarces_americanus	5504	0	3.740757323	0
Scomber_scombrus	5572	0	3.746089043	0
Merluccius_albidus	5914	0	3.771954749	0
Lumpenus_lampretaeformis	6476	0	3.811373897	0
Squalus_acanthias	6840	0	3.83511959	0
Amblyraja_radiata	7310	0	3.863976784	0
Sebastes	9518	0	3.978591327	0
Scomber_scombrus	10272	0	4.011697288	0
Benthosema_glaciale	10282	0	4.012119836	0
Scomber_scombrus	11756	0	4.070296518	0
Glyptocephalus_cynoglossus	12224	0	4.087248868	0
Leucoraja_erinacea	13627	0	4.134432125	0
Enchelyopus_cimbrius	14193	0	4.152104801	0
Enchelyopus_cimbrius	14792	0	4.170056257	0
Leucoraja_erinacea	17790	0	4.25020036	0
Leucoraja_erinacea	20178	0	4.30489964	0
Benthosema_glaciale	25323	0	4.403532305	0
Enchelyopus_cimbrius	30973	0	4.490997294	0
Argentina_silus	32743	0	4.515131732	0
Squalus_acanthias	35139	0	4.545801757	0
Leucoraja_erinacea	47861	0	4.679990842	0
Tautogolabrus_adspersus	48239	0	4.683407299	0
Hippoglossus_hippoglossus	60894	0	4.784581635	0
Benthosema_glaciale	74645	0	4.87300654	0
Clupea_harengus	0	0.951086957	0	0.290276626
Pollachius_virens	0	0.951086957	0	0.290276626
Lophius_americanus	12809	0.951086957	4.10754913	0.290276626
Myoxocephalus_octodecemspinosus	19091	0.951086957	4.280851426	0.290276626
Glyptocephalus_cynoglossus	0	0.972222222	0	0.294955848
Benthosema_glaciale	0	0.972222222	0	0.294955848
Clupea_harengus	0	0.972222222	0	0.294955848
Glyptocephalus_cynoglossus	0	0.972222222	0	0.294955848
Merluccius_albidus	0	0.972222222	0	0.294955848
Myoxocephalus_octodecemspinosus	0	0.972222222	0	0.294955848
Lophius_americanus	0	0.972222222	0	0.294955848
Merluccius_bilinearis	0	0.983146067	0	0.297354703
Merluccius_bilinearis	0	0.983146067	0	0.297354703
Lophius_americanus	0	0.983146067	0	0.297354703
Tautogolabrus_adspersus	0	0.983146067	0	0.297354703
Leucoraja_erinacea	0	0.983146067	0	0.297354703
Urophycis_tenuis	2278	0.983146067	3.357744325	0.297354703
Lophius_americanus	6079	0.983146067	3.783903579	0.297354703
Lophius_americanus	17952	0.983146067	4.254137031	0.297354703
Sebastes	0	0.994318182	0	0.299794449
Melanogrammus_aeglefinus	0	0.994318182	0	0.299794449
Hippoglossus_hippoglossus	0	0.994318182	0	0.299794449
Myoxocephalus_octodecemspinosus	0	0.994318182	0	0.299794449
Triglops_murrayi	0	0.994318182	0	0.299794449
Merluccius_bilinearis	0	0.994318182	0	0.299794449
Amblyraja_radiata	0	0.994318182	0	0.299794449
Phycis_chesteri	0	0.994318182	0	0.299794449
Tautogolabrus_adspersus	0	0.994318182	0	0.299794449
Glyptocephalus_cynoglossus	0	0.994318182	0	0.299794449
Sebastes	0	0.994318182	0	0.299794449
Citharichthys_arctifrons	0	0.994318182	0	0.299794449
Helicolenus_dactylopterus	0	1	0	0.301029996
