"","Taxa","eDNA_16S","verts_count"
"1","Alosa_pseudoharengus",0,0
"2","Amblyraja_radiata",0,0
"3","Argentina_silus",0,0
"4","Benthosema_glaciale",0,0
"5","Centroscyllium_fabricii",0,0
"6","Citharichthys_arctifrons",0,0
"7","Clupea_harengus",0,0
"8","Enchelyopus_cimbrius",0,0
"9","Glyptocephalus_cynoglossus",0,0
"10","Helicolenus_dactylopterus",0,1
"11","Hippoglossus_hippoglossus",0.00476532,0
"12","Leptoclinus_maculatus",0,0
"13","Leucoraja_erinacea",0,0
"14","Lophius_americanus",0,0
"15","Lumpenus_lampretaeformis",0,0
"16","Melanogrammus_aeglefinus",0,31
"17","Merluccius_albidus",0,0
"18","Merluccius_bilinearis",0.004402891,0
"19","Myoxocephalus_octodecemspinosus",0,0
"20","Notoscopelus_elongatus",0,0
"21","Phycis_chesteri",0,0
"22","Pollachius_virens",0.010370675,22
"23","Scomber_scombrus",0,43
"24","Sebastes",0,0
"25","Squalus_acanthias",0,19
"26","Tautogolabrus_adspersus",0,0
"27","Triglops_murrayi",0,0
"28","Urophycis_chuss",0,0
"29","Urophycis_tenuis",0,0
"30","Zoarces_americanus",0,1
"31","Alosa_pseudoharengus",0,0
"32","Amblyraja_radiata",0,1.988636364
"33","Argentina_silus",0,2.982954545
"34","Benthosema_glaciale",0,0
"35","Centroscyllium_fabricii",0,0
"36","Citharichthys_arctifrons",0,0
"37","Clupea_harengus",0,0
"38","Enchelyopus_cimbrius",0,0
"39","Glyptocephalus_cynoglossus",0,0
"40","Helicolenus_dactylopterus",0,6.960227273
"41","Hippoglossus_hippoglossus",0,0
"42","Leptoclinus_maculatus",0,0
"43","Leucoraja_erinacea",0,0
"44","Lophius_americanus",0,0
"45","Lumpenus_lampretaeformis",0,0
"46","Melanogrammus_aeglefinus",0,3.977272727
"47","Merluccius_albidus",0,0
"48","Merluccius_bilinearis",0.527338129,0
"49","Myoxocephalus_octodecemspinosus",0,0
"50","Notoscopelus_elongatus",0,0
"51","Phycis_chesteri",0,0
