Taxa	eDNA_16S	verts_wgt	log_eDNA_16S	log_verts_wgt
Scomber_scombrus	49373	0.018421053	4.693498313	0.007927369
Leptoclinus_maculatus	12366	0.031818182	4.092264361	0.013603176
Enchelyopus_cimbrius	14422	0.044005848	4.159055604	0.018702931
Urophycis_chuss	15826	0.04921875	4.199398602	0.020866043
Sebastes	26605	0.050710227	4.424979587	0.021482959
Enchelyopus_cimbrius	22531	0.068786127	4.352799743	0.028890808
Lumpenus_lampretaeformis	14952	0.075867052	4.174728333	0.031758608
Enchelyopus_cimbrius	11111	0.13125	4.045792233	0.053558592
Myoxocephalus_octodecemspinosus	1	0.14125	0.301029996	0.057380791
Alosa_pseudoharengus	82	0.1475	1.919078092	0.059752694
Tautogolabrus_adspersus	5796	0.170882353	3.7632033	0.068513261
Lumpenus_lampretaeformis	35255	0.201846591	4.547233038	0.079849036
Myoxocephalus_octodecemspinosus	19091	0.243478261	4.280851426	0.094638197
Glyptocephalus_cynoglossus	2326	0.243833333	3.366796383	0.094762191
Centroscyllium_fabricii	790	0.24841954	2.898176483	0.096360558
Merluccius_bilinearis	480829	0.25265625	5.681991556	0.09783191
Glyptocephalus_cynoglossus	3065	0.272540984	3.486572151	0.104671778
Clupea_harengus	1149	0.292329545	3.06069784	0.111373273
Lumpenus_lampretaeformis	7454	0.316193182	3.872447648	0.119319637
Citharichthys_arctifrons	31793	0.319375	4.50234517	0.120368251
Urophycis_tenuis	2278	0.360814607	3.357744325	0.133798962
Phycis_chesteri	2634	0.414367816	3.42078062	0.150562365
Glyptocephalus_cynoglossus	959	0.422413793	2.982271233	0.153025955
Urophycis_chuss	8874	0.432	3.948168362	0.155943018
Merluccius_bilinearis	11725	0.493442623	4.06914989	0.174188542
Melanogrammus_aeglefinus	142139	0.498235294	5.152716311	0.175580024
Merluccius_bilinearis	12982	0.523976608	4.113375057	0.182978301
Merluccius_bilinearis	23850	0.551630435	4.377506592	0.19078829
Merluccius_bilinearis	10002	0.552	4.000130269	0.190891717
Glyptocephalus_cynoglossus	5056	0.62	3.703892954	0.209515015
Scomber_scombrus	16784	0.627941176	4.224921346	0.211638708
Urophycis_chuss	14	0.725852273	1.176091259	0.237003619
Merluccius_albidus	453549	0.810833333	5.656625171	0.25787848
Leucoraja_erinacea	7320	0.844375	3.864570407	0.265849227
Urophycis_tenuis	87	0.924715909	1.944482672	0.284366636
Merluccius_bilinearis	2369	0.982121212	3.374748346	0.297130209
Merluccius_bilinearis	34	1.06408046	1.544068044	0.314726623
Urophycis_chuss	62279	1.066091954	4.794348604	0.315149646
Myoxocephalus_octodecemspinosus	2859	1.130606061	3.456366033	0.328503158
Hippoglossus_hippoglossus	9173	1.2228125	3.962558736	0.34690283
Urophycis_chuss	7156	1.293055556	3.854731017	0.360414577
Merluccius_bilinearis	8312	1.465116279	3.919757781	0.39183741
Leucoraja_erinacea	1028	1.488505747	3.012415375	0.395938648
Merluccius_bilinearis	19016	1.559444444	4.279142006	0.408145707
Urophycis_chuss	5	1.577034884	0.77815125	0.411120297
Squalus_acanthias	3943	1.638636364	3.595936906	0.421379543
Merluccius_bilinearis	5931	1.811764706	3.773201142	0.448978975
Clupea_harengus	4436	1.938920455	3.647089429	0.468187832
Merluccius_bilinearis	9485	2.197222222	3.97708312	0.504772823
Merluccius_bilinearis	53147	2.272988506	4.725486926	0.51494448
Glyptocephalus_cynoglossus	11061	2.302631579	4.043833654	0.518860129
Myoxocephalus_octodecemspinosus	6989	2.3953125	3.844477176	0.530879752
Clupea_harengus	7	2.514367816	0.903089987	0.545847213
Lophius_americanus	12809	2.605978261	4.10754913	0.557023104
Sebastes	43277	2.645588235	4.636267183	0.561767614
Lophius_americanus	6079	2.713483146	3.783903579	0.569781457
Zoarces_americanus	44888	2.891304348	4.652139931	0.590095199
Merluccius_bilinearis	1752	2.91011236	3.243781916	0.592189237
Sebastes	6616	3.54	3.820661135	0.657055853
Myoxocephalus_octodecemspinosus	8754	3.552	3.94225615	0.658202253
Urophycis_tenuis	52315	3.788235294	4.718634531	0.680175484
Merluccius_bilinearis	134850	3.869444444	5.129854171	0.687479415
Merluccius_bilinearis	3	4.272413793	0.602059991	0.722009488
Clupea_harengus	608	4.325284091	2.784617293	0.726342781
Hippoglossus_hippoglossus	8143	4.364942529	3.910837765	0.729565074
Lophius_americanus	17952	4.384831461	4.254137031	0.731172115
Urophycis_chuss	9803	4.81	3.991403303	0.764176132
Amblyraja_radiata	2670	5.859550562	3.426673888	0.836295662
Merluccius_bilinearis	7147	6.25	3.854184544	0.860338007
Merluccius_bilinearis	16939	6.76	4.228913406	0.889861721
Helicolenus_dactylopterus	9543	6.797687861	3.979730431	0.891965847
Glyptocephalus_cynoglossus	11152	6.83	4.047391702	0.893761762
Clupea_harengus	94	7.04	1.977723605	0.905256049
Hippoglossus_hippoglossus	6634	7.128333333	3.821840927	0.910001505
Clupea_harengus	4820	7.505555556	3.683137131	0.929702686
Merluccius_bilinearis	25	7.636363636	1.414973348	0.93633092
Merluccius_bilinearis	992	7.729166667	2.996949248	0.940972786
Leucoraja_erinacea	14603	8.514044944	4.164471824	0.978365199
Merluccius_bilinearis	4953	8.729768786	3.694956002	0.98810252
Sebastes	6300	8.900862069	3.79940948	0.99567301
Glyptocephalus_cynoglossus	11413	9.180769231	4.057437868	1.007780593
Clupea_harengus	237	9.998333333	2.376576957	1.041326878
Squalus_acanthias	3752	11.35	3.574378564	1.091666958
Squalus_acanthias	251	11.82514451	2.401400541	1.108062267
Merluccius_bilinearis	5203	11.92	3.716337288	1.111262514
Melanogrammus_aeglefinus	2371	12.74583333	3.375114685	1.138171074
Merluccius_bilinearis	118601	13.94	5.074092013	1.174350597
Sebastes	10864	14.01573034	4.036029731	1.17654646
Leucoraja_erinacea	18478	15.59	4.266678465	1.219846386
Melanogrammus_aeglefinus	2753	19.81235955	3.439963936	1.31832132
Melanogrammus_aeglefinus	3965	22.21091954	3.59835271	1.365692346
Squalus_acanthias	5507	22.33707865	3.740993932	1.36804649
Sebastes	607965	22.89914773	5.783879292	1.378382414
Sebastes	25737	23.16730769	4.410574797	1.383228271
Clupea_harengus	4342	24.73	3.637789829	1.410439786
Merluccius_bilinearis	7878	25.93641618	3.8964711	1.430339813
Melanogrammus_aeglefinus	3249	26.848	3.511883361	1.44479401
Myoxocephalus_octodecemspinosus	5541	27.23314607	3.743666521	1.450759275
Merluccius_bilinearis	159228	27.3	5.202022168	1.451786436
Squalus_acanthias	445	30.95555556	2.649334859	1.504546372
Pollachius_virens	6753	35.08	3.829561056	1.557266529
Melanogrammus_aeglefinus	13119	35.21875	4.117933835	1.558933458
Clupea_harengus	8886	44.24281609	3.94875518	1.655549629
Merluccius_bilinearis	2601	46.305	3.415307292	1.674907047
Squalus_acanthias	534	52.03735632	2.728353782	1.724581868
Clupea_harengus	94	54.5234375	1.977723605	1.744476346
Helicolenus_dactylopterus	7976	55.98055556	3.901839592	1.755726679
Melanogrammus_aeglefinus	4078	60.090625	3.610553705	1.785974568
Sebastes	24573	69.91812865	4.390475854	1.850757267
Glyptocephalus_cynoglossus	20313	88.60632184	4.307795448	1.952338651
Pollachius_virens	3059	89.8433908	3.485721426	1.958293336
Melanogrammus_aeglefinus	3797	113.4724138	3.57955496	2.058700841
Melanogrammus_aeglefinus	7311	199.9119382	3.864036183	2.303005743
Squalus_acanthias	11098	205.7921348	4.045283851	2.315534017
Squalus_acanthias	36734	217.3236994	4.565080044	2.339100882
Melanogrammus_aeglefinus	118710	279.2182065	5.074490963	2.447496349
Sebastes	4578	440.8913793	3.660770644	2.645315529
Sebastes	35437	953.8908046	4.549469204	2.979953711
