trawling_invertebrates	CO1_invertebrates
54	54
7	2
3	1
8	9
1	4
1	2
3	9
3	8
8	1
1	3
22	1
1	1
5	2
8	2
1	7
1	7
6	4
1	1
1	1
10	1
34	5
10	1
4	6
16	2
2	2
2	4
12	2
1	4
3	1
1	14
10	1
11	5
8	1
13	5
3	3
1	1
24	21
3	1
1	2
1	1
3	2
3	1
3	3
6	1
4	1
2	1
30	2
10	1
26	1
5	3
4	1
12	3
5	1
7	5
44	2
7	1
6	5
6	1
6	1
1	1
1	1
11	5
2	4
1	4
2	6
1	1
6	2
1	10
2	1
6	1
3	1
2	11
14	5
2	2
2	1
10	4
10	1
3	4
5	2
7	3
13	40
11	2
11	2
5	2
4	6
15	10
7	6
8	11
1	1
3	6
4	1
10	2
2	1
22	1
5	4
5	2
2	1
7	1
2	3
1	4
5	15
1	2
9	1
7	1
2	1
1	2
7	6
2	1
2	2
1	3
1	2
2	12
13	1
4	3
1	3
3	8
6	13
9	2
6	1
0	1
0	1
0	7
0	1
0	1
0	1
0	3
0	5
0	17
0	1
0	1
0	1
0	2
0	4
0	4
0	5
0	1
0	3
0	3
0	3
0	2
0	9
0	1
0	1
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	1
