MISSION, SETNO, SLAT, SLONG, ELAT, ELONG, SURFACE_TEMPERATURE, BOTTOM_TEMPERATURE, BOTTOM_SALINITY, HYDRO, SPEC, TOTWGT, COMM, SPEC_1
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,11,7.24,HADDOCK,MELANOGRAMMUS AEGLEFINUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,12,5.93,WHITE HAKE,UROPHYCIS TENUIS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,13,2.004,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,14,12.74,SILVER HAKE,MERLUCCIUS BILINEARIS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,16,42.88,POLLOCK,POLLACHIUS VIRENS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,23,12.88,REDFISH UNSEPARATED,SEBASTES SP.
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,40,0.084,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,41,0.344,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,60,0.23,HERRING(ATLANTIC),CLUPEA HARENGUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,62,0.118,ALEWIFE,ALOSA PSEUDOHARENGUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,300,0.113,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,400,0.251,MONKFISH,GOOSEFISH
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,2212,0.003,PANDALUS MONTAGUI,PANDALUS MONTAGUI
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,2214,0.217,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,2312,0.005,LEBBEUS POLARIS,LEBBEUS POLARIS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,2511,0.194,JONAH CRAB,CANCER BOREALIS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,2600,0.008,KRILL SHRIMP,EUPHAUSIACEA O.
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,4511,1.509,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,4521,0.038,OCTOPUS,OCTOPODA O.
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,4536,0.003,BOBTAIL SQUID,SEPIOLODAE F.
NED2020025,2,4418.49,6311.12,4417.75,6313.2,14.9,8,34.07,478618,6118,0.014,BLOOD STAR (GENUS),HENRICIA SP.
