"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Acartia longiremis","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Acartiidae",NA,"Acartia","Acartia longiremis","86087","itis",TRUE,FALSE,FALSE,FALSE
"Agonidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Agonidae",NA,NA,NA,"167426","itis",FALSE,FALSE,TRUE,FALSE
"Alosa pseudoharengus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Alosinae","Alosa","Alosa pseudoharengus","161706","itis",FALSE,FALSE,FALSE,TRUE
"Amblyraja radiata","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Amblyraja","Amblyraja radiata","564149","itis",TRUE,FALSE,FALSE,TRUE
"Ameira scotti","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Podoplea","Harpacticoida","Ameiridae",NA,"Ameira","Ameira scotti","206084","itis",FALSE,TRUE,FALSE,FALSE
"Ammodytes","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes",NA,"171671","itis",TRUE,FALSE,FALSE,TRUE
"Ammodytes americanus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes","Ammodytes americanus","171673","itis",FALSE,FALSE,TRUE,TRUE
"Ammodytes dubius","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes","Ammodytes dubius","171674","itis",FALSE,FALSE,TRUE,FALSE
"Ammodytes personatus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes","Ammodytes personatus","630414","itis",FALSE,FALSE,FALSE,TRUE
"Ammodytes tobianus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Ammodytidae",NA,"Ammodytes","Ammodytes tobianus","171676","itis",FALSE,FALSE,TRUE,FALSE
"Amphiascopsis cinctus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Podoplea","Harpacticoida","Diosaccidae",NA,"Amphiascopsis","Amphiascopsis cinctus","87769","itis",TRUE,FALSE,FALSE,FALSE
"Amphitrite figulus","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Terebellidae",NA,"Amphitrite","Amphitrite figulus","67905","itis",TRUE,FALSE,FALSE,FALSE
"Anarhichas","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Anarhichadidae",NA,"Anarhichas",NA,"171336","itis",FALSE,FALSE,TRUE,FALSE
"Anatidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Aves",NA,"Anseriformes","Anatidae",NA,NA,NA,"174983","itis",FALSE,FALSE,TRUE,FALSE
