fish_12S	fish_16S	fish_CO1	fish_eDNA	fish_trawling
54	54	54	54	54
1	2	3	2	4
14	2	12	3	3
12	3	1	14	6
1	2	1	12	13
3	20	1	21	4
2	1	1	2	1
1	2	9	1	5
3	4	2	3	3
3	2	1	1	3
20	1	2	2	1
1	13	2	4	1
1	1	2	4	1
8	14	1	4	7
8	1	1	1	32
1	3	1	18	7
9	1	3	4	6
3	8	2	21	19
3	15	17	2	1
8	10	3	1	22
4	1	2	3	8
1	3	1	1	8
5	11	2	12	5
4	6	8	16	19
2	5	1	1	12
16	1	4	12	2
2	1	3	4	3
27	8	1	3	6
5	1	0	15	8
2	4	0	8	7
4	4	0	6	18
2	2	0	1	1
9	1	0	1	16
4	10	0	1	3
3	5	0	9	1
3	27	0	4	1
1	10	0	9	3
5	1	0	1	1
1	1	0	1	10
12	5	0	8	1
1	2	0	7	1
1	6	0	3	40
4	2	0	1	2
17	2	0	1	43
4	1	0	11	5
2	6	0	16	1
1	2	0	5	19
4	13	0	33	9
2	14	0	11	1
6	2	0	3	1
4	1	0	2	4
2	1	0	1	1
2	10	0	1	1
14	5	0	7	1
0	2	0	3	1
0	0	0	5	2
0	0	0	3	2
0	0	0	3	18
0	0	0	7	9
0	0	0	2	7
0	0	0	1	5
0	0	0	2	1
0	0	0	8	25
0	0	0	2	15
0	0	0	1	1
0	0	0	12	1
0	0	0	13	4
0	0	0	1	5
0	0	0	1	1
0	0	0	15	21
0	0	0	2	23
0	0	0	1	6
0	0	0	5	0
0	0	0	1	0
0	0	0	22	0
0	0	0	9	0
0	0	0	4	0
