"","Actiniaria","Actiniidae","Actinostola","Annelida","Anonyx","Anthozoa","Aphrodita hastata","Argis dentata","Asterias forbesi","Asterias rubens","Asteroidea","Astropecten americanus","Atlantopandalus propinqvus","Axius serratus","Bivalvia","Bolocera","Brachiopoda","Brisaster fragilis","Buccinum undatum","Cancer borealis","Cancer irroratus","Ceramaster granularis","Chionoecetes opilio","Chirona hameri","Chlamys islandica","Clypeasteroida","Colus","Crangon septemspinosa","Crinoidea","Crossaster papposus","Ctenodiscus crispatus","Ctenophora","Cucumaria frondosa","Cyanea capillata","Decapoda","Dichelopandalus leptocerus","Epizoanthus","Eualus fabricii","Eualus gaimardii","Euphausiacea","Euspira heros","Flustra foliacea","Gersemia rubiformis","Gorgonocephalidae","Haliclona oculata","Henricia","Hippasteria phrygiana","Homarus americanus","Hormathia","Hyas","Hyas araneus","Hyas coarctatus","Hydrozoa","Illex illecebrosus","Lebbeus polaris","Leptasterias","Leptasterias polaris","Lithodes maja","Loligo pealeii","Lophaster furcifer","Meganyctiphanes norvegica","Modiolus modiolus","Munida valida","Munidopsis curvirostra","Mytilidae","Mytilus edulis","Naticidae","Nephtheidae","Neptunea decemcostata","Nudibranchia","Nymphon","Octopoda","Ophiacantha abyssicola","Ophiacantha bidentata","Ophiopholis aculeata","Ophiura sarsi","Ophiuroidea","Paguridae","Pagurus acadianus","Pandalus borealis","Pandalus montagui","Pasiphaea multidentata","Pennatula aculeata","Pennatulacea","Placopecten magellanicus","Polychaeta","Polymastia","Polymastia andrica","Pontaster","Pontophilus norvegicus","Porania pulvillus","Poraniomorpha hispida","Porifera","Pseudarchaster parelii","Psilaster andromeda","Psolus phantapus","Pteraster pulvillus","Pycnogonida","Pycnogonum litorale","Sclerasterias tanneri","Sclerocrangon boreas","Scyphozoa","Sepiolina","Sipuncula","Solaster","Solaster endeca","Spirontocaris lilljeborgii","Spirontocaris spinus","Spisula solidissima","Stomphia coccinea","Strongylocentrotus","Strongylocentrotus droebachiensis","Suberites ficus","Terebratulina","Vazella pourtalesii"
"EDNA20-478618",NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.25,NA,NA,NA,35,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,16.25,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,33.0555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6666666666667,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478635",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,9.26470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478639",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,NA,NA,24.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478655",1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888888888889,1.94444444444444,NA,NA,NA,NA,24.3055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,5.83333333333333,NA,NA,NA,26.25,19.4444444444444,NA,NA,9.72222222222222,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,3.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14705882352941,NA,1.02941176470588,NA,111.176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08823529411765,NA,NA,NA,NA,NA,NA,NA,49.4117647058824,18.5294117647059,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3235294117647,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,3.08823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478685",NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,4.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94444444444444,NA,NA,NA,NA,NA,NA,NA,31.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0277777777778,NA,NA,NA,0.972222222222222,NA,NA,NA,NA,NA,58.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972222222222222
"EDNA20-478689",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478706",NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11764705882353,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,NA,5.14705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02941176470588,NA,NA,NA,NA,NA,2.05882352941176,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1875,3.28125,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,7.65625,NA,NA,779.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09375,NA,NA,NA,NA,NA
"EDNA20-478745",3.18181818181818,NA,NA,NA,NA,NA,1.06060606060606,84.8484848484849,NA,51.969696969697,NA,NA,NA,NA,NA,NA,NA,NA,4.24242424242424,1.06060606060606,6.36363636363636,NA,29.6969696969697,NA,NA,33.9393939393939,NA,9.54545454545455,NA,1.06060606060606,NA,6.36363636363636,53.030303030303,NA,NA,16.969696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06060606060606,NA,NA,NA,6.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36363636363636,NA,6.36363636363636,NA,NA,3.18181818181818,NA,5.3030303030303,1.06060606060606,NA,NA,NA,NA,NA,NA,NA,NA,15.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,6.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478748",2.33333333333333,NA,NA,NA,NA,NA,1.16666666666667,2.33333333333333,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.16666666666667,1.16666666666667,NA,198.333333333333,NA,NA,16.3333333333333,NA,NA,NA,NA,NA,3.5,NA,NA,NA,58.3333333333333,NA,NA,NA,1.16666666666667,NA,NA,NA,NA,NA,NA,1.16666666666667,NA,NA,NA,NA,NA,NA,8.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6666666666667,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16666666666667,NA,NA,NA,1.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478752",1.09375,NA,NA,NA,NA,NA,NA,2.1875,NA,2.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,NA,NA,5.46875,NA,NA,NA,NA,NA,NA,3.28125,NA,NA,1.09375,NA,NA,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09375,NA,NA,2.1875,NA,1.09375,NA,NA,NA,NA,NA,NA,NA,1.09375,NA,1.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46875,NA,NA,NA
"EDNA20-478847",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08720930232558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01744186046512,NA,NA,NA,NA,1.01744186046512,NA,NA,NA,NA,NA,NA,NA,2.03488372093023,NA,23.4011627906977,NA,NA,NA,NA,NA,NA,1.01744186046512,NA,NA,7.12209302325581,NA,6.1046511627907,NA,NA,NA,NA,0,86.4825581395349,NA,3.05232558139535,NA,NA,NA,NA,NA,NA,NA,NA,1.01744186046512,NA,NA,NA,NA,NA,NA,3.05232558139535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.01744186046512,NA,1.01744186046512,NA,NA,NA,1.01744186046512,NA,NA,1.01744186046512,NA,NA,NA,NA,NA,NA,NA,NA,NA
