"","Actiniaria","Actiniidae","Actinostola","Annelida","Anonyx","Anthozoa","Aphrodita hastata","Argis dentata","Asterias forbesi","Asterias rubens","Asteroidea","Astropecten americanus","Atlantopandalus propinqvus","Axius serratus","Bivalvia","Bolocera","Brachiopoda","Brisaster fragilis","Buccinum undatum","Cancer borealis","Cancer irroratus","Ceramaster granularis","Chionoecetes opilio","Chirona hameri","Chlamys islandica","Clypeasteroida","Colus","Crangon septemspinosa","Crinoidea","Crossaster papposus","Ctenodiscus crispatus","Ctenophora","Cucumaria frondosa","Cyanea capillata","Decapoda","Dichelopandalus leptocerus","Epizoanthus","Eualus fabricii","Eualus gaimardii","Euphausiacea","Euspira heros","Flustra foliacea","Gersemia rubiformis","Gorgonocephalidae","Haliclona oculata","Henricia","Hippasteria phrygiana","Homarus americanus","Hormathia","Hyas","Hyas araneus","Hyas coarctatus","Hydrozoa","Illex illecebrosus","Lebbeus polaris","Leptasterias","Leptasterias polaris","Lithodes maja","Loligo pealeii","Lophaster furcifer","Meganyctiphanes norvegica","Modiolus modiolus","Munida valida","Munidopsis curvirostra","Mytilidae","Mytilus edulis","Naticidae","Nephtheidae","Neptunea decemcostata","Nudibranchia","Nymphon","Octopoda","Ophiacantha abyssicola","Ophiacantha bidentata","Ophiopholis aculeata","Ophiura sarsi","Ophiuroidea","Paguridae","Pagurus acadianus","Pandalus borealis","Pandalus montagui","Pasiphaea multidentata","Pennatula aculeata","Pennatulacea","Placopecten magellanicus","Polychaeta","Polymastia","Polymastia andrica","Pontaster","Pontophilus norvegicus","Porania pulvillus","Poraniomorpha hispida","Porifera","Pseudarchaster parelii","Psilaster andromeda","Psolus phantapus","Pteraster pulvillus","Pycnogonida","Pycnogonum litorale","Sclerasterias tanneri","Sclerocrangon boreas","Scyphozoa","Sepiolina","Sipuncula","Solaster","Solaster endeca","Spirontocaris lilljeborgii","Spirontocaris spinus","Spisula solidissima","Stomphia coccinea","Strongylocentrotus","Strongylocentrotus droebachiensis","Suberites ficus","Terebratulina","Vazella pourtalesii"
"EDNA20-478618",NA,NA,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27125,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,1.88625,0.00625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,NA,NA,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,0.00375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225,0.00375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44166666666667,NA,NA,NA,NA,NA,4.53833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0894444444444445,NA,NA,0.0126388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478635",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171911764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984117647058824,NA,NA,NA,NA,NA,1.20338235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000102941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478639",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0503125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00328125,NA,NA,NA,NA,NA,NA,NA,2.5375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478655",0.00291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.00875,NA,NA,NA,NA,NA,0.0233333333333333,NA,NA,NA,0.135138888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96944444444444,0.259583333333333,NA,NA,NA,NA,3.75083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272222222222222,NA,0.0301388888888889,NA,NA,NA,NA,NA,NA,0.0116666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145833333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.00194444444444444,NA,NA,0.0136111111111111,NA,NA,NA,0.0379166666666667,0.00486111111111111,NA,NA,0.00388888888888889,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,NA,NA,0.162361111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0913888888888889,NA,NA,NA,NA,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82205882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617647058823529,NA,0.0514705882352941,NA,0.125588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144117647058824,NA,NA,NA,NA,NA,NA,NA,4.77544117647059,0.0113235294117647,NA,NA,NA,NA,NA,0.00514705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205882352941177,NA,NA,NA,NA,0.00102941176470588,NA,NA,NA,NA,0.0236764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478685",NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,0.0165277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8925,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,NA,NA,3.98222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00875,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,0.193472222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.0252777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0213888888888889
"EDNA20-478689",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.265,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,1.304,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA,9.11,NA,NA,0.002,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478706",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3852941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34029411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07058823529412,NA,NA,0.0401470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108088235294118,NA,NA,NA,NA,NA,NA,0.633088235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0730882352941176,NA,NA,NA,NA,NA,0.0216176470588235,NA,NA,NA,NA,NA,NA,NA,NA,0.211029411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
