"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Acartia longiremis","Hexanauplia","Acartiidae","Acartia",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Acartia longiremis","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Agonidae","Actinopteri","Agonidae",NA,"Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Alosa pseudoharengus","Actinopteri","Clupeidae","Alosa","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Clupeiformes",NA,"Osteichthyes","Chordata",NA,"Alosa pseudoharengus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Amblyraja radiata","Elasmobranchii","Rajidae","Amblyraja",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,"Amblyraja radiata","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,TRUE
"Ameira scotti","Hexanauplia","Ameiridae","Ameira",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Harpacticoida",NA,NA,"Arthropoda",NA,"Ameira scotti","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Podoplea",NA,"worms",FALSE,TRUE,FALSE,FALSE
"Ammodytes","Actinopteri","Ammodytidae","Ammodytes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,TRUE
"Ammodytes americanus","Actinopteri","Ammodytidae","Ammodytes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Ammodytes americanus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Ammodytes dubius","Actinopteri","Ammodytidae","Ammodytes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Ammodytes dubius","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Ammodytes personatus","Actinopteri","Ammodytidae","Ammodytes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Ammodytes personatus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Ammodytes tobianus","Actinopteri","Ammodytidae","Ammodytes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Ammodytes tobianus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
