"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"GADUS MORHUA",10,"GADUS MORHUA","COD(ATLANTIC)",73,126436,"scientific",164712,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Gadus","Gadus morhua","Gadus morhua",TRUE
"MELANOGRAMMUS AEGLEFINUS",11,"MELANOGRAMMUS AEGLEFINUS","HADDOCK",74,126437,"scientific",164744,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus",TRUE
"UROPHYCIS TENUIS",12,"UROPHYCIS TENUIS","WHITE HAKE",76,126504,"scientific",164732,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Urophycis","Urophycis tenuis","Urophycis tenuis",TRUE
"UROPHYCIS CHUSS",13,"UROPHYCIS CHUSS","SQUIRREL OR RED HAKE",77,126503,"scientific",164730,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Urophycis","Urophycis chuss","Urophycis chuss",TRUE
"MERLUCCIUS BILINEARIS",14,"MERLUCCIUS BILINEARIS","SILVER HAKE",72,158962,"common",164791,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Merlucciidae","Merlucciinae","Merluccius","Merluccius bilinearis","Merluccius bilinearis",TRUE
"POLLACHIUS VIRENS",16,"POLLACHIUS VIRENS","POLLOCK",75,126441,"scientific",164727,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Pollachius","Pollachius virens","Pollachius virens",TRUE
"MERLUCCIUS ALBIDUS",19,"MERLUCCIUS ALBIDUS","OFF-SHORE HAKE",69,158748,"scientific",164793,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Merlucciidae","Merlucciinae","Merluccius","Merluccius albidus","Merluccius albidus",TRUE
"SEBASTES SP.",23,"SEBASTES SP.","REDFISH UNSEPARATED",NA,126175,"scientific",166705,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Sebastes",NA,"Sebastes",TRUE
"HIPPOGLOSSUS HIPPOGLOSSUS",30,"HIPPOGLOSSUS HIPPOGLOSSUS","HALIBUT(ATLANTIC)",101,127138,"scientific",172933,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossinae","Hippoglossus","Hippoglossus hippoglossus","Hippoglossus hippoglossus",TRUE
"REINHARDTIUS HIPPOGLOSSOIDES",31,"REINHARDTIUS HIPPOGLOSSOIDES","TURBOT,GREENLAND HALIBUT",99,127144,"scientific",172930,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossinae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides",TRUE
"HIPPOGLOSSOIDES PLATESSOIDES",40,"HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE",102,127137,"scientific",172877,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoidinae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides",TRUE
"GLYPTOCEPHALUS CYNOGLOSSUS",41,"GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER",107,127136,"scientific",172873,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectinae","Glyptocephalus","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus",TRUE
"LIMANDA FERRUGINEA",42,"LIMANDA FERRUGINEA","YELLOWTAIL FLOUNDER",105,158879,"scientific",172909,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectinae","Limanda","Limanda ferruginea","Limanda ferruginea",TRUE
"PSEUDOPLEURONECTES AMERICANUS",43,"PSEUDOPLEURONECTES AMERICANUS","WINTER FLOUNDER",106,158885,"scientific",172905,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectinae","Pseudopleuronectes","Pseudopleuronectes americanus","Pseudopleuronectes americanus",TRUE
"CITHARICHTHYS ARCTIFRONS",44,"CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER",109,158791,"scientific",172719,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Paralichthyidae",NA,"Citharichthys","Citharichthys arctifrons","Citharichthys arctifrons",TRUE
"ANARHICHAS LUPUS",50,"ANARHICHAS LUPUS","STRIPED ATLANTIC WOLFFISH",192,126758,"scientific",171341,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Anarhichadidae",NA,"Anarhichas","Anarhichas lupus","Anarhichas lupus",TRUE
"CLUPEA HARENGUS",60,"CLUPEA HARENGUS","HERRING(ATLANTIC)",32,126417,"scientific",161722,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Clupeinae","Clupea","Clupea harengus","Clupea harengus",TRUE
"ALOSA SAPIDISSIMA",61,"ALOSA SAPIDISSIMA","SHAD AMERICAN",35,158670,"scientific",161702,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Clupeomorpha","Clupeiformes","Clupeidae","Alosinae","Alosa","Alosa sapidissima","Alosa sapidissima",TRUE
