Site_trawling	bioclass	coarse_class	strata_class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51
EDNA20_474001	WSS_OuterBoF	West	Shelf_deep	-0.087114853	0.09289026	-0.273519292	0.038221155	-0.231457568	-0.19628857	0.069017129	-0.1875458	0.041084305	0.021570786	0.030666928	0.166285707	0.095073427	-0.055405115	0.038977099	0.013062472	0.100705187	0.024123914	0.088581475	-0.066904224	0.115459911	0.018831417	0.043369425	0.029017318	0.004939673	0.00048825	-0.028807792	-0.032305711	-0.013847311	-0.070651169	0.030135892	0.039795892	0.028951126	0.06100372	0.009534255	-0.093102627	0.041499928	-0.065366196	-0.063885867	-0.053316304	-0.017775689	0.012147094	0.027516453	-0.001525133	0.003304919	-0.058503337	0.014199684	-0.010051224	0.033553574	-0.002387292	0.003310994
EDNA20_474005	WSS_OuterBoF	West	Shelf_deep	-0.023785615	-0.09586383	-0.198488724	0.077009236	-0.25493232	-0.27785443	-0.001206021	0.033239298	-0.090488791	0.031693558	-0.051076908	0.217804748	0.031339489	0.186836035	0.012435909	-0.01723958	-0.036787213	0.044542499	0.082847485	0.044156765	-0.044064371	-0.087148425	0.040530665	0.004708873	0.135784072	0.034397602	0.024259301	-0.044894437	-0.054242847	0.021915068	-0.049986708	-0.013261732	-0.048185924	-0.119999277	0.023625015	0.062907293	-0.023090637	-0.047075893	0.069564182	0.013919561	0.036503678	-0.041923332	-0.01776354	0.0207607	-0.002108376	0.018614717	0.004480212	0.012637333	-0.016104186	-0.005689037	0.004093312
EDNA20_474014	WSS_Banks_InnerBoF	West	Shelf_bank	-0.097920508	0.212518451	0.027446406	0.115379115	0.019314703	0.064832519	0.000446458	0.045127001	0.007215121	-0.107738663	-0.076054466	0.1798534	-0.09881122	-0.092769112	0.166668458	0.006568041	-0.132939905	0.102074504	0.094087445	0.063078564	0.088540636	0.154018861	-0.085479609	-0.027867946	-0.126826215	0.055723232	0.07665168	-0.04080897	-0.050598994	-0.012860642	0.02198236	-0.101336217	0.010082795	0.014007765	0.00442168	0.03040953	-0.111935693	0.006558953	0.0058654	-0.006362088	0.013783958	-0.000592209	-0.026401707	-0.008268009	0.01893102	-0.038470025	-0.013331312	0.002728211	-0.010101431	0.024326448	0.001746073
EDNA20_474043	WSS_Banks_InnerBoF	West	Shelf_bank	0.231698949	0.042050665	0.054060966	0.12215591	-0.062401595	0.251170181	0.236359016	0.086147488	-0.108200815	-0.316482448	0.098757768	-0.074122751	-0.026542994	0.133984034	-0.051165462	-0.017002572	0.028319425	0.072527303	0.026329576	-0.055454153	-0.072112096	0.105287342	0.02921902	-0.119035147	0.048848978	-0.001519092	0.059584545	-0.026806445	0.011421833	-0.014390132	0.09408273	0.10687357	-0.0451826	-0.086724819	0.022236349	-0.030325983	0.008107838	-0.032201963	0.013325913	-0.014380947	-0.04305738	0.009820527	0.007142963	0.005043533	0.010048313	-0.022896393	-0.015272778	0.004906955	0.019039063	-0.005958618	0.000213827
EDNA20_474079	ESS_Banks	East	Shelf_bank	0.274135047	0.113846699	-0.043819514	0.055973223	-0.273714547	-0.042999908	0.042490603	-0.113820835	-0.007077448	0.017267635	0.024377415	0.00262882	-0.028004832	-0.024342388	-0.110108999	-0.136423982	-0.109787135	-0.029897494	-0.020082251	0.112842545	-0.100309071	-0.031017089	-0.148175159	-0.047785289	-0.089090667	-0.03883881	0.125631668	-0.06458829	0.032159666	0.086232856	-0.03257333	0.024124549	0.002210605	0.064554209	-0.07963635	-0.006744879	0.044828974	0.053560265	0.018485084	-0.086110127	-0.009271377	-0.023426511	0.03457868	-0.016647346	-0.022979413	0.002828943	0.03453194	0.001329341	-0.01510768	-0.014121275	-0.003248274
EDNA20_474086	ESS	East	Shelf_deep	0.21377757	-0.245459205	0.081998642	-0.173723204	0.22976037	0.048045868	0.129102782	-0.064400806	0.087139255	0.183396884	-0.078912262	0.202482379	0.031481581	-0.002893085	-0.047255463	-0.032678121	0.077637645	-0.085327629	-0.082651446	-0.003608679	-0.052975876	0.130486836	-0.019806311	-0.031014459	0.04163407	-0.025636128	0.063901128	-0.038216047	0.032965282	-0.024541678	-0.050437671	0.063695386	-0.004512306	0.013685594	0.093218667	-0.017984415	-0.09171584	0.014620821	0.035573464	0.014766298	0.041586131	0.040185593	0.025576401	0.019846401	-0.008299378	-0.035725031	0.005382897	-0.01283367	-0.032162778	-0.031032962	0.001489733
EDNA20_474091	ESS	East	Shelf_deep	0.28677576	-0.280612611	0.039877918	-0.18122946	0.191450592	0.053023202	0.03246947	0.052041825	0.138926387	0.08475115	-0.015115152	0.205048639	-0.046008365	-0.014546995	-0.151248264	0.047521347	0.091945553	0.103829192	0.005884295	-0.016496603	0.032456736	0.000368041	-0.037841511	-0.017609066	-0.019395387	-0.013522948	-0.014531019	-0.036653558	0.049093105	0.049937836	-0.000135226	-0.026521461	0.025115356	-0.025301953	-0.014868378	-0.009274467	0.058113374	-0.024644933	0.044936445	-0.090920123	-0.005227804	-0.008551221	-0.051448113	-0.016630218	0.012474181	0.046219922	-0.014145686	0.035366081	0.044129506	0.04181575	0.000499455
EDNA20_474099	ESS_Banks	East	Shelf_bank	0.465061687	0.052441319	-0.190459892	-0.024499209	-0.104236753	0.152247152	-0.161173574	0.170643706	0.069991588	-0.01895396	0.020358386	0.0167402	-0.004291893	-0.108259653	0.114670327	0.002515515	-0.031400577	-0.096252573	-0.027146002	-0.092545359	-0.07911316	-0.004879055	-0.005175101	-0.02317048	0.092210964	-0.179769447	0.013957937	-0.000219813	-0.125956637	0.03509645	0.018291552	-0.035259324	0.094064601	0.067915585	0.065612643	-0.033793321	-0.007371932	-0.062856531	0.002542205	0.027476717	-0.014576831	-0.064353407	0.008799785	-0.002737628	-0.012146035	0.019758674	-0.020770156	0.001969553	-0.007309235	0.008799544	-0.001254385
EDNA20_474103	ESS_Banks	East	Shelf_bank	0.398081626	-0.03221702	-0.126385566	0.035877645	-0.083383277	0.093421467	-0.139130785	0.21135286	0.099734394	-0.101680868	0.072305024	0.045599079	0.031111859	0.075941789	0.047650139	0.177496054	0.025517057	-0.050362842	0.122309837	-0.038704055	0.15483733	-0.047412493	0.02728806	0.061317839	-0.000200722	0.011400404	0.069545151	-0.016943152	0.068978045	-0.009847544	-0.0327944	0.058819996	-0.006308671	0.066929533	-0.043980296	0.041247575	0.011025264	0.087360231	0.0446666	0.030862042	0.055347703	0.073960773	0.033748126	0.014859214	0.021926833	0.015616336	0.019908107	-0.011587389	0.011917233	-0.007277631	-0.003699868
EDNA20_474107	ESS_Banks	East	Shelf_bank	0.430304861	-0.05847695	-0.104088473	-0.109305482	-0.098861969	0.132617365	-0.146256291	0.074579739	0.148006408	-0.011178628	0.073287474	-0.076585848	0.024243614	0.001781012	0.035189556	0.002630805	0.018757674	-0.00216809	-0.018153171	-0.036283054	0.023033857	0.046433638	0.049368424	-0.045998853	-0.082112377	0.111357194	-0.180095606	0.04460142	0.028959197	-0.018408458	-0.079711544	-0.043440314	0.014149055	-0.096064298	-0.067634365	0.037897161	-0.025698848	-0.027724109	0.003581979	-0.055489134	-0.037007824	-0.011975989	-0.001305005	-0.005838081	-0.052108859	-0.034658386	0.022193342	-0.000113528	-0.040924802	-0.015156011	0.00671999
