"","Alosa pseudoharengus","Alosa sapidissima","Amblyraja radiata","Ammodytes dubius","Anarhichas lupus","Arctozenus risso","Argentina silus","Artediellus atlanticus","Ascidia","Aspidophoroides monopterygius","Benthosema glaciale","Boltenia","Centroscyllium fabricii","Chlorophthalmus agassizi","Citharichthys arctifrons","Clupea harengus","Dipturus laevis","Enchelyopus cimbrius","Gadus morhua","Gaidropsarus ensis","Glyptocephalus cynoglossus","Helicolenus dactylopterus","Hemitripterus americanus","Hippoglossina oblonga","Hippoglossoides platessoides","Hippoglossus hippoglossus","Leptagonus decagonus","Leptoclinus maculatus","Leucoraja","Leucoraja erinacea","Leucoraja ocellata","Limanda ferruginea","Liparis gibbus","Lophius americanus","Lumpenus lampretaeformis","Lycenchelys verrillii","Lycodes lavalaei","Lycodes vahlii","Lycodichthys dearborni","Malacoraja senta","Mallotus villosus","Maurolicus muelleri","Melanogrammus aeglefinus","Merluccius albidus","Merluccius bilinearis","Myctophidae","Myoxocephalus aenaeus","Myoxocephalus octodecemspinosus","Myxine glutinosa","Nemichthys scolopaceus","Nezumia","Nezumia bairdii","Notoscopelus elongatus","Paraliparis calidus","Paraliparis copei","Pentanemus quinquarius","Peprilus triacanthus","Phycis chesteri","Pollachius virens","Pseudopleuronectes americanus","Reinhardtius hippoglossoides","Scomber scombrus","Scophthalmus aquosus","Sebastes","Squalus acanthias","Stomias boa","Symphurus","Tautogolabrus adspersus","Triglops murrayi","Tunicata","Ulvaria subbifurcata","Urophycis chuss","Urophycis tenuis","Zoarces americanus"
"EDNA20-478618",0.1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2875,NA,NA,NA,NA,0.43,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,0.31375,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,15.925,NA,NA,0.14125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,2.505,7.4125,NA
"EDNA20-478631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0106944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7458333333333,NA,1.55944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11375,NA,NA,NA,NA,0.565833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29305555555556,NA,NA
"EDNA20-478635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9632352941176,NA,0.776176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170882352941176,NA,NA,NA,NA,NA,NA
"EDNA20-478639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319375,0.18046875,NA,NA,0.01421875,NA,0.39046875,NA,1.3890625,NA,0.0175,9.296875,NA,NA,NA,0.844375,2.253125,1.990625,NA,0.22859375,NA,NA,NA,NA,NA,NA,NA,NA,35.21875,NA,0.643125,NA,NA,2.3953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8071875,NA,NA,NA,NA,NA,NA,NA,0.04921875,NA,NA
"EDNA20-478655",NA,NA,NA,NA,NA,NA,4.44305555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178888888888889,55.9805555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4361111111111,0.810833333333333,3.86944444444444,NA,NA,NA,NA,NA,0.806944444444444,NA,NA,NA,NA,0.0894444444444445,NA,NA,1.48555555555556,NA,NA,NA,NA,74.1027777777778,NA,NA,NA,NA,NA,NA,NA,NA,9.35277777777778,NA
"EDNA20-478672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,0.165277777777778,NA,NA,NA,0.0525,0.00388888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00375,NA,NA,NA,NA,NA,NA,NA,0.00291666666666667,4.50138888888889,0.739861111111111,2.19722222222222,NA,NA,NA,0.04375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78333333333333,NA,NA,NA,NA,NA,NA,NA,2.41111111111111,NA,NA
"EDNA20-478677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267647058823529,4.18970588235294,NA,NA,NA,NA,0.0751470588235294,NA,NA,NA,0.184264705882353,NA,NA,NA,NA,NA,NA,NA,NA,0.260441176470588,NA,NA,NA,NA,NA,NA,NA,NA,0.498235294117647,NA,27.3,NA,NA,0.144117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38235294117647,NA,NA,0.627941176470588,NA,2.64558823529412,NA,NA,NA,NA,NA,0.00617647058823529,NA,0.957352941176471,3.78823529411765,0.0844117647058824
"EDNA20-478685",NA,NA,NA,NA,NA,NA,NA,NA,0.0145833333333333,NA,NA,NA,NA,NA,0.0330555555555556,7.50555555555556,NA,NA,NA,NA,1.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77569444444444,NA,NA,NA,NA,NA,NA,NA,NA,1.82194444444444,NA,7.72916666666667,NA,NA,0.119583333333333,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225,1.37861111111111,NA
"EDNA20-478689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.73,NA,NA,NA,NA,NA,NA,0.569,NA,NA,23.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.975,NA,0.552,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15588235294118,NA,NA,NA,NA,NA,2.87411764705882,NA,0.473529411764706,NA,NA,NA,NA,NA,NA,NA,NA,30.3264705882353,NA,1.81176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754558823529412,0.254264705882353,NA
